"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","evenness","celaantal","gini_thas","gini_wittebolle","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10"
"1",1875000,1875,937.5,1875,1875,937.5,1875,937.5,937.5,1875,0.0244813672679457,1888125,0.812765189130631,0.894041708043694,187.5,187.5,93.75,187.5,187.5,93.75,187.5,93.75,93.75,187.5,1e+07,10000,10000,10000,10000,10000,10000,10000,10000,10000
"2",789.473684210526,1578.94736842105,1578947.36842105,1578.94736842105,1578.94736842105,1578.94736842105,1578.94736842105,1578.94736842105,1578.94736842105,1578.94736842105,0.0291102257989895,1592368.42105263,0.810880245188624,0.891968269707486,78.9473684210526,157.894736842105,157.894736842105,157.894736842105,157.894736842105,157.894736842105,157.894736842105,157.894736842105,157.894736842105,157.894736842105,10000,10000,1e+07,10000,10000,10000,10000,10000,10000,10000
"3",1250,1250,12500,2500,1250,1250,1250,1250,1250,2500000,0.0299198497414152,2523750,0.81313881759647,0.894452699356117,125,125,125,250,125,125,125,125,125,250,10000,10000,1e+05,10000,10000,10000,10000,10000,10000,1e+07
"4",1250,1250,1250,1250,2500,12500,1250,1250,1250,2500000,0.0299198497414152,2523750,0.81313881759647,0.894452699356117,125,125,125,125,250,125,125,125,125,250,10000,10000,10000,10000,10000,1e+05,10000,10000,10000,1e+07
"5",1153.84615384615,11538.4615384615,1153.84615384615,2307692.30769231,1153.84615384615,2307.69230769231,1153.84615384615,1153.84615384615,1153.84615384615,2307.69230769231,0.0314582450354266,2330769.23076923,0.812871287128713,0.894158415841584,115.384615384615,115.384615384615,115.384615384615,230.769230769231,115.384615384615,230.769230769231,115.384615384615,115.384615384615,115.384615384615,230.769230769231,10000,1e+05,10000,1e+07,10000,10000,10000,10000,10000,10000
"6",1153.84615384615,11538.4615384615,2307.69230769231,2307692.30769231,1153.84615384615,2307.69230769231,1153.84615384615,1153.84615384615,1153.84615384615,1153.84615384615,0.0314582450354266,2330769.23076923,0.812871287128713,0.894158415841584,115.384615384615,115.384615384615,230.769230769231,230.769230769231,115.384615384615,230.769230769231,115.384615384615,115.384615384615,115.384615384615,115.384615384615,10000,1e+05,10000,1e+07,10000,10000,10000,10000,10000,10000
"7",11538.4615384615,2307692.30769231,1153.84615384615,1153.84615384615,2307.69230769231,1153.84615384615,1153.84615384615,1153.84615384615,2307.69230769231,1153.84615384615,0.0314582450354266,2330769.23076923,0.812871287128713,0.894158415841584,115.384615384615,230.769230769231,115.384615384615,115.384615384615,230.769230769231,115.384615384615,115.384615384615,115.384615384615,230.769230769231,115.384615384615,1e+05,1e+07,10000,10000,10000,10000,10000,10000,10000,10000
"8",1071.42857142857,10714.2857142857,1071.42857142857,1071.42857142857,2142857.14285714,2142.85714285714,2142.85714285714,1071.42857142857,1071.42857142857,2142.85714285714,0.0329952243010802,2165357.14285714,0.812514056947506,0.893765462642256,107.142857142857,107.142857142857,107.142857142857,107.142857142857,214.285714285714,214.285714285714,214.285714285714,107.142857142857,107.142857142857,214.285714285714,10000,1e+05,10000,10000,1e+07,10000,10000,10000,10000,10000
"9",10714.2857142857,1071.42857142857,2142857.14285714,2142.85714285714,2142.85714285714,2142.85714285714,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,0.0329952243010802,2165357.14285714,0.812514056947506,0.893765462642256,107.142857142857,107.142857142857,214.285714285714,214.285714285714,214.285714285714,214.285714285714,107.142857142857,107.142857142857,107.142857142857,107.142857142857,1e+05,10000,1e+07,10000,10000,10000,10000,10000,10000,10000
"10",1071.42857142857,2142.85714285714,2142.85714285714,1071.42857142857,1071.42857142857,1071.42857142857,10714.2857142857,1071.42857142857,2142.85714285714,2142857.14285714,0.0329952243010802,2165357.14285714,0.812514056947506,0.893765462642256,107.142857142857,214.285714285714,214.285714285714,107.142857142857,107.142857142857,107.142857142857,107.142857142857,107.142857142857,214.285714285714,214.285714285714,10000,10000,10000,10000,10000,10000,1e+05,10000,10000,1e+07
"11",1071.42857142857,1071.42857142857,1071.42857142857,2142.85714285714,2142.85714285714,2142.85714285714,2142857.14285714,1071.42857142857,1071.42857142857,10714.2857142857,0.0329952243010802,2165357.14285714,0.812514056947506,0.893765462642256,107.142857142857,107.142857142857,107.142857142857,214.285714285714,214.285714285714,214.285714285714,214.285714285714,107.142857142857,107.142857142857,107.142857142857,10000,10000,10000,10000,10000,10000,1e+07,10000,10000,1e+05
"12",1071.42857142857,1071.42857142857,1071.42857142857,2142.85714285714,2142.85714285714,2142.85714285714,1071.42857142857,1071.42857142857,2142857.14285714,10714.2857142857,0.0329952243010802,2165357.14285714,0.812514056947506,0.893765462642256,107.142857142857,107.142857142857,107.142857142857,214.285714285714,214.285714285714,214.285714285714,107.142857142857,107.142857142857,214.285714285714,107.142857142857,10000,10000,10000,10000,10000,10000,10000,10000,1e+07,1e+05
"13",10000,1000,1000,2000,1000,2000,2000,2000,2e+06,1000,0.0345307895866963,2022000,0.812067260138477,0.893273986152325,100,100,100,200,100,200,200,200,200,100,1e+05,10000,10000,10000,10000,10000,10000,10000,1e+07,10000
"14",2000,2000,2000,2000,1000,1000,1000,1000,2e+06,10000,0.0345307895866963,2022000,0.812067260138477,0.893273986152325,200,200,200,200,100,100,100,100,200,100,10000,10000,10000,10000,10000,10000,10000,10000,1e+07,1e+05
"15",2000,2e+06,1000,1000,2000,10000,1000,2000,2000,1000,0.0345307895866963,2022000,0.812067260138477,0.893273986152325,200,200,100,100,200,100,100,200,200,100,10000,1e+07,10000,10000,10000,1e+05,10000,10000,10000,10000
"16",2000,2000,1000,1000,2000,10000,2000,2e+06,1000,1000,0.0345307895866963,2022000,0.812067260138477,0.893273986152325,200,200,100,100,200,100,200,200,100,100,10000,10000,10000,10000,10000,1e+05,10000,1e+07,10000,10000
"17",1153.84615384615,2307.69230769231,2307.69230769231,1153.84615384615,1153846.15384615,1153.84615384615,1153.84615384615,1153.84615384615,1153.84615384615,2307.69230769231,0.0389688722132824,1167692.30769231,0.80901904419691,0.889920948616601,115.384615384615,230.769230769231,230.769230769231,115.384615384615,115.384615384615,115.384615384615,115.384615384615,115.384615384615,115.384615384615,230.769230769231,10000,10000,10000,10000,1e+07,10000,10000,10000,10000,10000
