"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","evenness","celaantal"
"26843",4000,40000,4000,4000,8e+06,8000,8000,4000,4000,8000,0.0329952243010802,8084000
"30470",4000,40000,4000,8e+06,4000,8000,4000,4000,4000,8000,0.0314582450354266,8080000
"44970",40000,4000,8e+06,8000,8000,8000,4000,4000,4000,4000,0.0329952243010802,8084000
"200334",40000,4000,4000,8000,4000,8000,8000,8000,8e+06,4000,0.0345307895866963,8088000
"354937",8000,8000,8000,8000,4000,4000,4000,4000,8e+06,40000,0.0345307895866963,8088000
"394635",4000,8000,8000,4000,4000,4000,40000,4000,8000,8e+06,0.0329952243010802,8084000
"400485",4000,40000,8000,8e+06,4000,8000,4000,4000,4000,4000,0.0314582450354266,8080000
"473929",8000,8e+06,4000,4000,8000,40000,4000,8000,8000,4000,0.0345307895866963,8088000
"479578",4000,4000,40000,8000,4000,4000,4000,4000,4000,8e+06,0.0299198497414152,8076000
"500577",8000,40000,4000,8000,8000,8000,4000,8e+06,8000,4000,0.036064942936597,8092000
"512625",4000,8000,8000,4000,4e+06,4000,4000,4000,4000,8000,0.0389688722132824,4048000
"531570",8000,8000,4000,4000,8000,40000,8000,8e+06,4000,4000,0.0345307895866963,8088000
"539125",4000,4000,4000,8000,8000,8000,8e+06,4000,4000,40000,0.0329952243010802,8084000
"555353",8e+06,8000,4000,8000,8000,4000,8000,4000,4000,8000,0.0244813672679457,8056000
"569675",4000,4000,4000,8000,8000,8000,4000,4000,8e+06,40000,0.0329952243010802,8084000
"622758",4000,8000,8e+06,8000,8000,8000,8000,8000,8000,8000,0.0291102257989895,8068000
"699950",40000,8e+06,4000,4000,8000,4000,4000,4000,8000,4000,0.0314582450354266,8080000
"807196",4000,8000,8000,8000,8e+06,8000,8000,40000,4000,8000,0.0375976863911162,8096000
"879527",4000,4000,4000,4000,8000,40000,4000,4000,4000,8e+06,0.0299198497414152,8076000
"925149",4000,40000,8000,4000,8000,8000,4000,8000,8000,8e+06,0.036064942936597,8092000
"936213",4000,8000,4000,4000,8000,8e+06,40000,4000,8000,8000,0.0345307895866963,8088000
