id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,evenness,celaantal,gini_thas,gini_wittebolle,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,count,pathogen
1,1875000,1875,937.5,1875,1875,937.5,1875,937.5,937.5,1875,0.024481367,1888125,0.812765189,0.894041708,187.5,187.5,93.75,187.5,187.5,93.75,187.5,93.75,93.75,187.5,1.00E+07,10000,10000,10000,10000,10000,10000,10000,10000,10000,2,LMG7866
2,789.4736842,1578.947368,1578947.368,1578.947368,1578.947368,1578.947368,1578.947368,1578.947368,1578.947368,1578.947368,0.029110226,1592368.421,0.810880245,0.89196827,78.94736842,157.8947368,157.8947368,157.8947368,157.8947368,157.8947368,157.8947368,157.8947368,157.8947368,157.8947368,10000,10000,1.00E+07,10000,10000,10000,10000,10000,10000,10000,1,LMG7866
3,1250,1250,12500,2500,1250,1250,1250,1250,1250,2500000,0.02991985,2523750,0.813138818,0.894452699,125,125,125,250,125,125,125,125,125,250,10000,10000,1.00E+05,10000,10000,10000,10000,10000,10000,1.00E+07,21,LMG7866
4,1250,1250,1250,1250,2500,12500,1250,1250,1250,2500000,0.02991985,2523750,0.813138818,0.894452699,125,125,125,125,250,125,125,125,125,250,10000,10000,10000,10000,10000,1.00E+05,10000,10000,10000,1.00E+07,14,LMG7866
5,1153.846154,11538.46154,1153.846154,2307692.308,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,2307.692308,0.031458245,2330769.231,0.812871287,0.894158416,115.3846154,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,230.7692308,10000,1.00E+05,10000,1.00E+07,10000,10000,10000,10000,10000,10000,11,LMG7866
6,1153.846154,11538.46154,2307.692308,2307692.308,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,1153.846154,0.031458245,2330769.231,0.812871287,0.894158416,115.3846154,115.3846154,230.7692308,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,10000,1.00E+05,10000,1.00E+07,10000,10000,10000,10000,10000,10000,0,LMG7866
7,11538.46154,2307692.308,1153.846154,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,2307.692308,1153.846154,0.031458245,2330769.231,0.812871287,0.894158416,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,230.7692308,115.3846154,1.00E+05,1.00E+07,10000,10000,10000,10000,10000,10000,10000,10000,6,LMG7866
8,1071.428571,10714.28571,1071.428571,1071.428571,2142857.143,2142.857143,2142.857143,1071.428571,1071.428571,2142.857143,0.032995224,2165357.143,0.812514057,0.893765463,107.1428571,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,214.2857143,107.1428571,107.1428571,214.2857143,10000,1.00E+05,10000,10000,1.00E+07,10000,10000,10000,10000,10000,18,LMG7866
9,10714.28571,1071.428571,2142857.143,2142.857143,2142.857143,2142.857143,1071.428571,1071.428571,1071.428571,1071.428571,0.032995224,2165357.143,0.812514057,0.893765463,107.1428571,107.1428571,214.2857143,214.2857143,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,107.1428571,1.00E+05,10000,1.00E+07,10000,10000,10000,10000,10000,10000,10000,5,LMG7866
10,1071.428571,2142.857143,2142.857143,1071.428571,1071.428571,1071.428571,10714.28571,1071.428571,2142.857143,2142857.143,0.032995224,2165357.143,0.812514057,0.893765463,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,10000,10000,10000,10000,10000,10000,1.00E+05,10000,10000,1.00E+07,8,LMG7866
11,1071.428571,1071.428571,1071.428571,2142.857143,2142.857143,2142.857143,2142857.143,1071.428571,1071.428571,10714.28571,0.032995224,2165357.143,0.812514057,0.893765463,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,10000,10000,10000,10000,10000,10000,1.00E+07,10000,10000,1.00E+05,7,LMG7866
12,1071.428571,1071.428571,1071.428571,2142.857143,2142.857143,2142.857143,1071.428571,1071.428571,2142857.143,10714.28571,0.032995224,2165357.143,0.812514057,0.893765463,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,10000,10000,10000,10000,10000,10000,10000,10000,1.00E+07,1.00E+05,2,LMG7866
13,10000,1000,1000,2000,1000,2000,2000,2000,2.00E+06,1000,0.03453079,2022000,0.81206726,0.893273986,100,100,100,200,100,200,200,200,200,100,1.00E+05,10000,10000,10000,10000,10000,10000,10000,1.00E+07,10000,2,LMG7866
14,2000,2000,2000,2000,1000,1000,1000,1000,2.00E+06,10000,0.03453079,2022000,0.81206726,0.893273986,200,200,200,200,100,100,100,100,200,100,10000,10000,10000,10000,10000,10000,10000,10000,1.00E+07,1.00E+05,14,LMG7866
15,2000,2.00E+06,1000,1000,2000,10000,1000,2000,2000,1000,0.03453079,2022000,0.81206726,0.893273986,200,200,100,100,200,100,100,200,200,100,10000,1.00E+07,10000,10000,10000,1.00E+05,10000,10000,10000,10000,2,LMG7866
16,2000,2000,1000,1000,2000,10000,2000,2.00E+06,1000,1000,0.03453079,2022000,0.81206726,0.893273986,200,200,100,100,200,100,200,200,100,100,10000,10000,10000,10000,10000,1.00E+05,10000,1.00E+07,10000,10000,12,LMG7866
17,1153.846154,2307.692308,2307.692308,1153.846154,1153846.154,1153.846154,1153.846154,1153.846154,1153.846154,2307.692308,0.038968872,1167692.308,0.809019044,0.889920949,115.3846154,230.7692308,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,115.3846154,115.3846154,230.7692308,10000,10000,10000,10000,1.00E+07,10000,10000,10000,10000,10000,0,LMG7866
18,1363.636364,1363.636364,1363.636364,1363636.364,1363.636364,1363.636364,1363.636364,1363.636364,2727.272727,13636.36364,0.053707001,1389545.455,0.808189847,0.889008832,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,272.7272727,136.3636364,10000,10000,10000,1.00E+07,10000,10000,10000,10000,10000,1.00E+05,4,LMG7866
19,1153.846154,2307.692308,1153.846154,1153846.154,2307.692308,1153.846154,1153.846154,11538.46154,1153.846154,2307.692308,0.059166604,1178076.923,0.806962871,0.887659158,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,230.7692308,10000,10000,10000,1.00E+07,10000,10000,10000,1.00E+05,10000,10000,15,LMG7866
20,1153.846154,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,2307.692308,11538.46154,1153846.154,1153.846154,0.059166604,1178076.923,0.806962871,0.887659158,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,10000,10000,10000,10000,10000,10000,10000,1.00E+05,1.00E+07,10000,5,LMG7866
21,1153846.154,1153.846154,2307.692308,1153.846154,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,11538.46154,0.059166604,1178076.923,0.806962871,0.887659158,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,115.3846154,1.00E+07,10000,10000,10000,10000,10000,10000,10000,10000,1.00E+05,2,LMG7866
22,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,2307.692308,1153.846154,1153846.154,11538.46154,1153.846154,0.059166604,1178076.923,0.806962871,0.887659158,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,10000,10000,10000,10000,10000,10000,10000,1.00E+07,1.00E+05,10000,4,LMG7866
23,1071.428571,2142.857143,2142.857143,2142.857143,10714.28571,1071.428571,2142.857143,1071.428571,1071.428571,1071428.571,0.061889017,1095000,0.806084327,0.886692759,107.1428571,214.2857143,214.2857143,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,10000,10000,10000,10000,1.00E+05,10000,10000,10000,10000,1.00E+07,6,LMG7866
24,1071.428571,2142.857143,10714.28571,1071428.571,2142.857143,1071.428571,2142.857143,1071.428571,2142.857143,1071.428571,0.061889017,1095000,0.806084327,0.886692759,107.1428571,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,214.2857143,107.1428571,214.2857143,107.1428571,10000,10000,1.00E+05,1.00E+07,10000,10000,10000,10000,10000,10000,4,LMG7866
25,1153.846154,1153.846154,2307.692308,2307.692308,230769.2308,1153.846154,1153.846154,1153.846154,1153.846154,1153.846154,0.13750464,243461.5385,0.776820336,0.85450237,115.3846154,115.3846154,230.7692308,230.7692308,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,115.3846154,10000,10000,10000,10000,1.00E+06,10000,10000,10000,10000,10000,6,LMG7866
26,1875,937.5,937.5,937.5,1875,1875,937.5,1875,187500,1875,0.165851628,200625,0.767204758,0.843925234,187.5,93.75,93.75,93.75,187.5,187.5,93.75,187.5,187.5,187.5,10000,10000,10000,10000,10000,10000,10000,10000,1.00E+06,10000,17,LMG7866
27,176470.5882,1764.705882,1764.705882,1764.705882,1764.705882,1764.705882,882.3529412,882.3529412,1764.705882,882.3529412,0.175143767,189705.8824,0.762367865,0.838604651,176.4705882,176.4705882,176.4705882,176.4705882,176.4705882,176.4705882,88.23529412,88.23529412,176.4705882,88.23529412,1.00E+06,10000,10000,10000,10000,10000,10000,10000,10000,10000,9,LMG7866
28,1764.705882,1764.705882,882.3529412,1764.705882,1764.705882,176470.5882,882.3529412,1764.705882,1764.705882,882.3529412,0.175143767,189705.8824,0.762367865,0.838604651,176.4705882,176.4705882,88.23529412,176.4705882,176.4705882,176.4705882,88.23529412,176.4705882,176.4705882,88.23529412,10000,10000,10000,10000,10000,1.00E+06,10000,10000,10000,10000,9,LMG7866
29,1250,1250,12500,1250,1250,1250,2500,1250,250000,1250,0.190635626,273750,0.771689498,0.848858447,125,125,125,125,125,125,250,125,250,125,10000,10000,1.00E+05,10000,10000,10000,10000,10000,1.00E+06,10000,6,LMG7866
30,1250,12500,1250,250000,1250,2500,1250,1250,1250,1250,0.190635626,273750,0.771689498,0.848858447,125,125,125,250,125,250,125,125,125,125,10000,1.00E+05,10000,1.00E+06,10000,10000,10000,10000,10000,10000,2,LMG7866
31,1153.846154,230769.2308,1153.846154,11538.46154,2307.692308,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,10000,1.00E+06,10000,1.00E+05,10000,10000,10000,10000,10000,10000,10,LMG7866
32,1153.846154,1153.846154,11538.46154,2307.692308,1153.846154,230769.2308,1153.846154,2307.692308,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,115.3846154,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,10000,10000,1.00E+05,10000,10000,1.00E+06,10000,10000,10000,10000,18,LMG7866
33,11538.46154,230769.2308,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,115.3846154,230.7692308,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,1.00E+05,1.00E+06,10000,10000,10000,10000,10000,10000,10000,10000,10,LMG7866
34,2142.857143,214285.7143,1071.428571,1071.428571,1071.428571,1071.428571,2142.857143,2142.857143,10714.28571,1071.428571,0.208590558,236785.7143,0.766351296,0.842986425,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,10000,1.00E+06,10000,10000,10000,10000,10000,10000,1.00E+05,10000,4,LMG7866
35,2142.857143,1071.428571,1071.428571,2142.857143,1071.428571,214285.7143,2142.857143,1071.428571,1071.428571,10714.28571,0.208590558,236785.7143,0.766351296,0.842986425,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,10000,10000,10000,10000,10000,1.00E+06,10000,10000,10000,1.00E+05,22,LMG7866
36,10714.28571,2142.857143,2142.857143,1071.428571,1071.428571,1071.428571,214285.7143,2142.857143,1071.428571,1071.428571,0.208590558,236785.7143,0.766351296,0.842986425,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,1.00E+05,10000,10000,10000,10000,10000,1.00E+06,10000,10000,10000,17,LMG7866
37,10714.28571,1071.428571,2142.857143,214285.7143,1071.428571,2142.857143,1071.428571,1071.428571,1071.428571,2142.857143,0.208590558,236785.7143,0.766351296,0.842986425,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,1.00E+05,10000,10000,1.00E+06,10000,10000,10000,10000,10000,10000,21,LMG7866
38,1071.428571,2142.857143,2142.857143,1071.428571,214285.7143,2142.857143,1071.428571,1071.428571,1071.428571,10714.28571,0.208590558,236785.7143,0.766351296,0.842986425,107.1428571,214.2857143,214.2857143,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,107.1428571,10000,10000,10000,10000,1.00E+06,10000,10000,10000,10000,1.00E+05,0,LMG7866
39,2.00E+05,1000,1000,2000,2000,1000,2000,1000,10000,2000,0.217460006,222000,0.762489762,0.838738739,200,100,100,200,200,100,200,100,100,200,1.00E+06,10000,10000,10000,10000,10000,10000,10000,1.00E+05,10000,9,LMG7866
40,1000,10000,1000,1000,2000,1000,2.00E+05,2000,2000,2000,0.217460006,222000,0.762489762,0.838738739,100,100,100,100,200,100,200,200,200,200,10000,1.00E+05,10000,10000,10000,10000,1.00E+06,10000,10000,10000,17,LMG7866
41,10714.28571,21428.57143,107142.8571,10714.28571,10714.28571,214285.7143,2142.857143,214285.7143,1071.428571,1071428.571,0.50151617,1663928.571,0.679447404,0.747392144,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,214.2857143,107.1428571,107.1428571,1.00E+05,1.00E+05,1.00E+06,1.00E+05,1.00E+05,1.00E+06,10000,1.00E+06,10000,1.00E+07,9,LMG7866
42,1071.428571,214285.7143,2142.857143,1071428.571,1071.428571,1071.428571,10714.28571,214285.7143,21428.57143,1071428.571,0.529400543,2608928.571,0.656449505,0.722094456,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,10000,1.00E+06,10000,1.00E+07,10000,10000,1.00E+05,1.00E+06,1.00E+05,1.00E+07,10,LMG7866
43,1250000,12500,1250,25000,125000,1250,1250,125000,2500,1250000,0.469356874,2793750,0.682652024,0.750917226,125,125,125,250,125,125,125,125,250,125,1.00E+07,1.00E+05,10000,1.00E+05,1.00E+06,10000,10000,1.00E+06,10000,1.00E+07,3,LMG7866
44,1363.636364,1363.636364,13636.36364,136363.6364,272727.2727,13636.36364,1363.636364,1363636.364,1363636.364,1363.636364,0.491792923,3169090.909,0.675794085,0.743373494,136.3636364,136.3636364,136.3636364,136.3636364,272.7272727,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,10000,10000,1.00E+05,1.00E+06,1.00E+06,1.00E+05,10000,1.00E+07,1.00E+07,10000,9,LMG7866
45,1250,1250,125000,125000,125000,125000,2500,1250000,2500,125000,0.520982927,1882500,0.631896656,0.695086321,125,125,125,125,125,125,250,125,250,125,10000,10000,1.00E+06,1.00E+06,1.00E+06,1.00E+06,10000,1.00E+07,10000,1.00E+06,9,LMG7866
46,214285.7143,214285.7143,1071.428571,214285.7143,107142.8571,1071.428571,1071.428571,2142.857143,1071.428571,1071428.571,0.546621432,1827857.143,0.643397634,0.707737397,214.2857143,214.2857143,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,1.00E+06,1.00E+06,10000,1.00E+06,1.00E+06,10000,10000,10000,10000,1.00E+07,5,LMG7866
47,1875,18750,937.5,937500,93750,937500,18750,18750,187500,18750,0.538311429,2234062.5,0.652996605,0.718296265,187.5,187.5,93.75,93.75,93.75,93.75,187.5,187.5,187.5,187.5,10000,1.00E+05,10000,1.00E+07,1.00E+06,1.00E+07,1.00E+05,1.00E+05,1.00E+06,1.00E+05,3,LMG7866
48,214285.7143,107142.8571,2142.857143,2142.857143,107142.8571,10714.28571,107142.8571,2142.857143,1071.428571,1071428.571,0.496732332,1625357.143,0.67423743,0.741661173,214.2857143,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,1.00E+06,1.00E+06,10000,10000,1.00E+06,1.00E+05,1.00E+06,10000,10000,1.00E+07,0,LMG7866
49,1875,1875,18750,9375,187500,93750,18750,18750,937500,93750,0.489072844,1381875,0.682003207,0.750203528,187.5,187.5,187.5,93.75,187.5,93.75,187.5,187.5,93.75,93.75,10000,10000,1.00E+05,1.00E+05,1.00E+06,1.00E+06,1.00E+05,1.00E+05,1.00E+07,1.00E+06,4,LMG7866
50,1000,1.00E+05,1.00E+06,20000,2.00E+05,1.00E+05,20000,2000,2000,1000,0.453770424,1446000,0.702124984,0.772337483,100,100,100,200,200,100,200,200,200,100,10000,1.00E+06,1.00E+07,1.00E+05,1.00E+06,1.00E+06,1.00E+05,10000,10000,10000,7,LMG7866
51,1875,187500,1875,18750,9375,187500,937500,18750,9375,93750,0.512870177,1466250,0.673564287,0.740920716,187.5,187.5,187.5,187.5,93.75,187.5,93.75,187.5,93.75,93.75,10000,1.00E+06,10000,1.00E+05,1.00E+05,1.00E+06,1.00E+07,1.00E+05,1.00E+05,1.00E+06,0,LMG7866
52,2142.857143,214285.7143,1071428.571,2142.857143,10714.28571,107142.8571,107142.8571,21428.57143,1071.428571,10714.28571,0.455763543,1548214.286,0.701289714,0.771418685,214.2857143,214.2857143,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,10000,1.00E+06,1.00E+07,10000,1.00E+05,1.00E+06,1.00E+06,1.00E+05,10000,1.00E+05,7,LMG7866
53,1666.666667,16666.66667,166666.6667,16666.66667,16666.66667,1666.666667,1666.666667,8333.333333,833.3333333,16666.66667,0.533044063,247500,0.633914907,0.697306397,166.6666667,166.6666667,166.6666667,166.6666667,166.6666667,166.6666667,166.6666667,83.33333333,83.33333333,166.6666667,10000,1.00E+05,1.00E+06,1.00E+05,1.00E+05,10000,10000,1.00E+05,10000,1.00E+05,5,LMG7866
