"n","Reaction","NAME.EQ"
"1","C180SN","16 TPNH + 23 H+ + Acetoacetyl-ACP + 7 Malonyl-acyl-carrierprotein- <=> 8 H2O + 16 TPN + 7 CO2 + 7 ACP + Octadecanoyl-ACP"
"2","anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"3","palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Palmitoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"4","myristoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Myristoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"5","isohexadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"6","stearoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Stearoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"7","isoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"8","isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"9","isopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"10","anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"11","fatty-acyl-ACP synthase (n-C16:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Myristoyl-ACP + Malonyl-acyl-carrierprotein- <=> 3 H2O + 3 TPN + CO2 + ACP + Hexadecenoyl-ACP"
"12","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"13","Uroporphyrinogen I carboxy-lyase","4 H+ + UroporphyrinogenI <=> 4 CO2 + CoproporphyrinogenI"
"14","(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase","TPN + (R)-3-Hydroxybutanoyl-[acyl-carrier protein] <=> TPNH + H+ + Acetoacetyl-ACP"
"15","ammonium-hydroxide:NAD(P)+ oxidoreductase","2 H2O + 3 TPN + NH3 <=> 3 TPNH + 5 H+ + Nitrite"
