"n","Reaction","NAME.EQ"
"1","anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"2","palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Palmitoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"3","isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"4","stearoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Stearoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"5","isoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"6","isopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"7","anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"8","isohexadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"9","myristoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Myristoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"10","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"11","D-alanine-poly(phosphoribitol) ligase","45 ATP + 45 D-Ala + Prenol-45n teichoic acid => 45 PPi + 45 AMP + Prenol-45n teichoic acid-alanine substituted"
"12","fatty-acyl-ACP synthase (n-C18:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Malonyl-acyl-carrierprotein- + Palmitoyl-ACP <=> 3 H2O + 3 TPN + CO2 + ACP + Octadecenoyl-ACP"
"13","Uroporphyrinogen I carboxy-lyase","4 H+ + UroporphyrinogenI <=> 4 CO2 + CoproporphyrinogenI"
"14","rxn06979","2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Cob(II)yrinate diamide"
"15","Phytase (periplasm)","6 H2O + Phytate <=> 6 Phosphate + 6 H+ + Bios I"
