"n","Reaction","NAME.EQ"
"1","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"2","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"3","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"4","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"5","FMNH2-dependent monooxygenase","O2 + FMNH2 + Isethionate <=> H2O + FMN + HSO3- + Glycolaldehyde"
"6","FMNH2-dependent monooxygenase (methanesulfonate)","O2 + FMNH2 + methanesulfonate <=> H2O + FMN + Methanal + HSO3-"
"7","FMNH2-dependent monooxygenase (ethanesulfonate)","O2 + FMNH2 + ethanesulfonate <=> H2O + FMN + AALD + HSO3-"
"8","FMNH2-dependent monooxygenase (sulfoacetate)","O2 + FMNH2 + Sulfoacetate <=> H2O + Glyoxylate + FMN + HSO3-"
"9","cob(II)yrinic acid-a,c-diamide:FMN oxidoreductase","FMNH2 + 2 Cob(II)yrinate diamide <=> FMN + 2 H+ + 2 Cob(I)yrinate diamide"
"10","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"11","rxn06979","2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 ADP + 2 Phosphate + 2 GLU + 2 H+ + Cob(II)yrinate diamide"
"12","Taurine, 2-oxoglutarate:O2 oxidoreductase (sulfite-forming)","O2 + 2-Oxoglutarate + Taurine <=> CO2 + Succinate + HSO3- + Aminoacetaldehyde"
"13","adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase","PAPS + trdrd <=> PAP + HSO3- + trdox"
"14","coproporphyrinogen-III:S-adenosyl-L-methionine","2 SAM + CoproporphyrinogenIII <=> 2 CO2 + 2 Methionine + ProtoporphyrinogenIX + 2 5'-Deoxyadenosine"
"15","Hydrogenobyrinate  <=> Hydrogenobyrinate a,c diamide","H2O + 2 ATP + 2 L-Glutamine + Hydrogenobyrinate <=> 2 ADP + PPi + 2 GLU + Hydrogenobyrinate diamide"
