,S_aero,S_agro,S_bacillus,S_burkho,S_delftia,S_entero,S_para,S_pseudo,S_rhizobium,S_serr
S_aero,1137.3893826213382,990.7173775410098,961.4851135859284,996.4714849886053,935.7803173178528,785.5424894230016,941.374726731143,963.1799199089398,978.0391411980752,955.7207566408553
S_agro,990.7173775410098,1176.5548227850609,988.1939284077838,1041.1774447735409,1008.59276270115,785.8585818152002,1014.6164946044536,993.4092001362858,1068.526165995342,979.2687299363947
S_bacillus,961.4851135859284,988.1939284077838,1159.5744386766999,960.338407000306,939.6494871597384,790.2771348607748,933.5289065194285,942.9563807720484,965.6899015116469,908.2661810501951
S_burkho,996.4714849886053,1041.1774447735409,960.338407000306,1164.0870781161614,1030.1150008498375,776.9320664425488,1013.2330893918881,1026.3143152447215,1020.9718194054591,978.6915292971311
S_delftia,935.7803173178528,1008.59276270115,939.6494871597384,1030.1150008498375,1068.9881787686697,756.6885832551402,996.5574717139453,996.3740143596868,1000.0092660423667,941.6336572002701
S_entero,785.5424894230016,785.8585818152002,790.2771348607748,776.9320664425488,756.6885832551402,858.4633048512707,750.7758419062934,752.6220718000272,782.9549568171449,773.8084443927369
S_para,941.374726731143,1014.6164946044536,933.5289065194285,1013.2330893918881,996.5574717139453,750.7758419062934,1079.4248215342834,982.9931007472012,1021.298234147736,934.2235810308142
S_pseudo,963.1799199089398,993.4092001362858,942.9563807720484,1026.3143152447215,996.3740143596868,752.6220718000272,982.9931007472012,1073.172873712022,979.2223219216991,953.5633480598866
S_rhizobium,978.0391411980752,1068.526165995342,965.6899015116469,1020.9718194054591,1000.0092660423667,782.9549568171449,1021.298234147736,979.2223219216991,1170.8691741239709,966.4503218247058
S_serr,955.7207566408553,979.2687299363947,908.2661810501951,978.6915292971311,941.6336572002701,773.8084443927369,934.2235810308142,953.5633480598866,966.4503218247058,1085.5199972066525
