,S_aero,S_agro,S_bacillus,S_burkho,S_delftia,S_entero,S_para,S_pseudo,S_rhizobium,S_serr
S_aero,1.0,0.7516105941302792,0.7241867043847242,0.7664497469269703,0.7364110201042442,0.65546875,0.7316530763528539,0.7768469154607769,0.7318116975748931,0.7561156412157154
S_agro,0.7516105941302792,1.0,0.7366573033707865,0.8061224489795918,0.8221709006928406,0.6305828917486752,0.8126911314984709,0.7952994692949203,0.8285077951002228,0.7741697416974169
S_bacillus,0.7241867043847242,0.7366573033707865,1.0,0.7133934767522554,0.7312775330396476,0.65,0.7153231663035584,0.7383935151068534,0.7041666666666667,0.6913841807909604
S_burkho,0.7664497469269703,0.8061224489795918,0.7133934767522554,1.0,0.8533333333333334,0.6287878787878788,0.8124042879019908,0.8454332552693209,0.7677929547088426,0.7738359201773836
S_delftia,0.7364110201042442,0.8221709006928406,0.7312775330396476,0.8533333333333334,1.0,0.6536901865369019,0.8583196046128501,0.8681592039800995,0.7978560490045942,0.7896794370602033
S_entero,0.65546875,0.6305828917486752,0.65,0.6287878787878788,0.6536901865369019,1.0,0.6278884462151394,0.6478190630048465,0.623574144486692,0.6688102893890675
S_para,0.7316530763528539,0.8126911314984709,0.7153231663035584,0.8124042879019908,0.8583196046128501,0.6278884462151394,1.0,0.8275303643724696,0.8275058275058275,0.7638461538461538
S_pseudo,0.7768469154607769,0.7952994692949203,0.7383935151068534,0.8454332552693209,0.8681592039800995,0.6478190630048465,0.8275303643724696,1.0,0.7635135135135135,0.8031496062992126
S_rhizobium,0.7318116975748931,0.8285077951002228,0.7041666666666667,0.7677929547088426,0.7978560490045942,0.623574144486692,0.8275058275058275,0.7635135135135135,1.0,0.7498165810711666
S_serr,0.7561156412157154,0.7741697416974169,0.6913841807909604,0.7738359201773836,0.7896794370602033,0.6688102893890675,0.7638461538461538,0.8031496062992126,0.7498165810711666,1.0
