,S_aero,S_agro,S_bacillus,S_burkho,S_delftia,S_entero,S_para,S_pseudo,S_rhizobium,S_serr
S_aero,1.0,0.6038114343029087,0.595669687814703,0.6181082448153769,0.5983564458140729,0.5209020902090209,0.593011305241521,0.6331236897274634,0.6112789526686808,0.664218258132214
S_agro,0.6038114343029087,1.0,0.5949050949050949,0.6690833764888658,0.6942193408968126,0.4922418405564473,0.7005988023952096,0.6719914802981896,0.7427027027027027,0.6322778345250255
S_bacillus,0.595669687814703,0.5949050949050949,1.0,0.5733990147783251,0.5827814569536424,0.5198237885462555,0.5750636132315522,0.6036082474226804,0.5809005442850074,0.5547373588610702
S_burkho,0.6181082448153769,0.6690833764888658,0.5733990147783251,1.0,0.7030401737242128,0.46764860599684377,0.6729122055674518,0.7258241758241758,0.6470888661899897,0.641170431211499
S_delftia,0.5983564458140729,0.6942193408968126,0.5827814569536424,0.7030401737242128,1.0,0.5016666666666667,0.7125140924464487,0.7481396680022896,0.6780748663101605,0.6472457627118644
S_entero,0.5209020902090209,0.4922418405564473,0.5198237885462555,0.46764860599684377,0.5016666666666667,1.0,0.5,0.5055617352614016,0.4997313272434175,0.5315964523281597
S_para,0.593011305241521,0.7005988023952096,0.5750636132315522,0.6729122055674518,0.7125140924464487,0.5,1.0,0.719615602035048,0.7044711014176663,0.6202928870292888
S_pseudo,0.6331236897274634,0.6719914802981896,0.6036082474226804,0.7258241758241758,0.7481396680022896,0.5055617352614016,0.719615602035048,1.0,0.6536842105263158,0.6688102893890675
S_rhizobium,0.6112789526686808,0.7427027027027027,0.5809005442850074,0.6470888661899897,0.6780748663101605,0.4997313272434175,0.7044711014176663,0.6536842105263158,1.0,0.625
S_serr,0.664218258132214,0.6322778345250255,0.5547373588610702,0.641170431211499,0.6472457627118644,0.5315964523281597,0.6202928870292888,0.6688102893890675,0.625,1.0
