,Staphylococcus aureus subsp. aureus MRSA252,Streptococcus pyogenes MGAS9429,Staphylococcus aureus subsp. aureus MRSA252,Helicobacter acinonychis str. Sheeba,Vibrio cholerae O1 biovar El Tor str. N16961,Mycobacterium tuberculosis SUMu007,Janibacter sp. HTCC2649,Janibacter sp. HTCC2649,Alicycliphilus denitrificans BC,Escherichia coli SE15,Streptococcus pneumoniae CDC1873-00,Streptococcus pneumoniae CDC1873-00,Mycobacterium smegmatis str. MC2 155,Bacteroides sp. 2_2_4,Bacillus mycoides DSM 2048,Myxococcus xanthus DK 1622,Roseburia intestinalis L1-82,Escherichia sp. 3_2_53FAA,Streptococcus pneumoniae P1031,Bacillus cereus Rock4-2,Helicobacter pylori J99,Roseobacter sp. AzwK-3b,Helicobacter pylori J99,Subdoligranulum variabile DSM 15176,Enterococcus faecalis T1,Borrelia hermsii DAH,Borrelia hermsii DAH,Sphingomonas sp. SKA58,Prochlorococcus marinus str. MIT 9312,Prochlorococcus marinus str. MIT 9312,Acinetobacter baumannii ATCC 17978,Acinetobacter baumannii ATCC 17978,Comamonas testosteroni KF-1,Thiomonas intermedia K12,Thiomonas intermedia K12,Enterococcus faecium E1162,Phaeobacter gallaeciensis BS107,Lactobacillus paracasei subsp. paracasei 8700:2,Streptococcus pneumoniae ATCC 700669,Clostridium perfringens E str. JGS1987,Kangiella koreensis DSM 16069,Agrobacterium radiobacter K84,Escherichia coli O157:H7,Janthinobacterium sp. Marseille,Janthinobacterium sp. Marseille,Francisella tularensis subsp. tularensis SCHU S4,Bacillus cereus F65185,Geobacter lovleyi SZ,Streptococcus pneumoniae 23F,Providencia alcalifaciens DSM 30120,Streptococcus salivarius SK126,Streptococcus sp. oral taxon 071 str. 73H25AP,Acinetobacter sp. 6013150,Alicycliphilus denitrificans BC,Brucella abortus bv. 1 str. 9-941,Brucella abortus biovar 1 str. 9-941,Escherichia coli 042,Escherichia coli 042,Staphylococcus epidermidis SK135,Dehalococcoides sp. CBDB1,Borrelia burgdorferi 72a,Salmonella typhimurium LT2,Porphyromonas endodontalis ATCC 35406,Haemophilus influenzae Rd KW20,Haemophilus influenzae Rd KW20,Lactobacillus jensenii 27-2-CHN,Enterococcus faecium TX0133C,Dehalococcoides sp. BAV1,Sphingopyxis alaskensis RB2256,Rhodococcus erythropolis SK121,Roseovarius nubinhibens ISM,Meiothermus ruber DSM 1279,Meiothermus ruber DSM 1279,Meiothermus ruber DSM 1279,Roseovarius nubinhibens ISM,Lactobacillus vaginalis ATCC 49540,Burkholderia pseudomallei Pasteur 52237,Burkholderia pseudomallei Pasteur,Clostridium botulinum Ba4 str. 657,Lactobacillus brevis ATCC 367,Lactobacillus brevis ATCC 367,Neisseria cinerea ATCC 14685,Burkholderia pseudomallei 1655,Escherichia coli B171,Escherichia coli B171,Bacteroides sp. 3_1_40A,Mesoplasma florum L1,Mesoplasma florum L1,Lactobacillus iners ATCC 55195,Spirochaeta thermophila DSM 6192,Thermus aquaticus Y51MC23,Desulfitobacterium hafniense DCB-2,Shigella dysenteriae 1617,Desulfitobacterium hafniense DCB-2,Lactococcus lactis subsp. lactis KF147,Escherichia coli E24377A,Haemophilus influenzae 22.1-21,Pseudomonas fluorescens Pf0-1,Streptococcus pyogenes MGAS315,Streptococcus pyogenes MGAS315
Staphylococcus aureus subsp. aureus MRSA252,-2491.9989952885057,-2488.8837793193134,-2491.909871803888,-2495.5929172395718,-2490.907841740681,-2490.9803594343834,-2489.1053865198355,-2489.684103592495,-2485.6248016923414,-2491.387908510493,-2493.3340144424683,-2490.1636122278674,-2489.4550173149414,-2495.3827381181804,-2491.998366024718,-2489.101945895246,-2492.0708477351454,-2491.231160781875,-2485.9322773626486,-2491.6838164022543,-2491.087593272105,-2487.6163049998386,-2494.8826214715723,-2488.9618730683665,-2492.8580358517347,-2490.5367410819626,-2485.5166124694447,-2492.593634215282,-2485.8395890370616,-2476.4641219425653,-2486.3321555589373,-2487.0424862992386,-2488.004440015226,-2492.2586790117707,-2489.7354995730043,-2490.4245079075786,-2487.9368065856006,-2490.7919367541103,-2490.325311800242,-2492.614887234005,-2487.732658111633,-2492.61483599066,-2491.444672077063,-2488.749377529722,-2488.730568360277,-2490.1708968744647,-2490.912407483966,-2490.1902574128612,-2485.873865843687,-2491.1389214500805,-2493.52239035187,-2485.684423692733,-2491.7237238844227,-2487.210696995148,-2492.3193859835756,-2484.329368452132,-2491.3562968951583,-2491.404138586775,-2491.970449338617,-2487.0577886801716,-2488.995640034331,-2491.3173578011606,-2492.321709889104,-2491.070768035371,-2492.2604288985763,-2491.8391338896804,-2484.7108115716615,-2486.3513019766124,-2489.2756380141773,-2491.133903294411,-2486.0573459043003,-2491.9969393124966,-2492.3074138570882,-2492.5348986560102,-2489.644268908906,-2492.226749722116,-2488.4123545252082,-2491.284978010961,-2488.540957738444,-2488.052408389844,-2488.330951721198,-2495.893018163031,-2488.357680639437,-2491.4203690816066,-2492.2942418518805,-2495.566000858675,-2494.6210345254444,-2484.234638385275,-2492.2136129621076,-2491.2808901394706,-2488.273691030893,-2491.984805007296,-2491.4790072492865,-2488.7961051323477,-2492.9254333187414,-2492.2348818162245,-2492.6071543835847,-2485.8385072670703,-2490.4226864753646,-2489.326371606283
Streptococcus pyogenes MGAS9429,-2488.8837793193134,13141.999000433092,13142.000049558073,13136.021501022364,13140.172620078501,13141.782164968054,13136.260935301441,13136.69770008926,13142.902741287608,13136.881401153381,13142.67480621171,13142.61125347244,13139.558297994487,13140.570643325264,13141.998436995982,13137.432346406616,13134.225815267737,13136.877802244611,13142.072199314322,13141.999003326462,13136.187004682984,13136.451188487801,13140.852173159798,13136.735378263018,13140.988885345098,13135.047094427446,13137.602515793538,13136.14349313081,13136.859459466314,13136.79750599359,13141.897080168897,13141.810121776258,13136.31649984206,13136.78347457436,13136.887168074778,13140.99705108442,13136.66157305167,13140.77049875002,13141.568231132056,13136.22225236472,13138.611831820195,13141.478742962267,13136.84660157471,13137.335949216666,13137.925497292801,13138.338762502102,13142.000153302393,13141.217991092437,13141.518263200833,13136.791129125984,13141.9658595962,13141.567418419188,13141.804892154432,13142.895042613718,13135.946008763416,13136.07111897999,13136.881049815986,13136.88123816517,13142.000342059799,13138.315737223584,13140.339552925587,13136.877196082118,13140.958194367213,13137.122968831058,13140.719360648869,13137.906837489089,13136.983968175755,13138.131191240502,13137.217717665786,13141.723850252705,13137.249300895208,13140.845350408328,13140.680656878072,13140.947154181395,13137.145440281836,13142.085253946647,13137.135763328271,13136.825799889657,13141.074982932894,13143.009103011882,13143.006844204121,13141.504601203776,13136.827036591274,13136.869090610327,13136.812034055032,13136.090604734323,13140.363141912836,13138.348658704634,13137.995846421454,13140.968470279715,13141.036215305583,13136.991431272438,13136.822614100354,13136.980817370317,13142.001876690028,13136.873257762107,13137.111589744156,13136.823692233716,13141.998593877888,13141.998696912964
Staphylococcus aureus subsp. aureus MRSA252,-2491.909871803888,13142.000049558073,-2763.9999982736717,-2760.5552159328204,-2758.9799333746587,-2761.0016095495253,-2763.3543195210714,-2763.516149152473,-2764.992070790323,-2760.5285128014975,-2765.3583933526274,-2760.8319941418235,-2760.657940894747,-2762.213702482632,-2760.170103919743,-2763.656561767998,-2761.83634193203,-2759.5665501322596,-2760.8971412752826,-2763.1683537250233,-2763.138358382847,-2760.4200265026275,-2763.2336969612033,-2761.360703570969,-2762.042268526222,-2758.6516004984674,-2774.6326810982064,-2766.1531875218343,-2754.184154601612,-2749.655490348848,-2757.463578201468,-2759.772902949881,-2760.169718346149,-2763.606755335279,-2761.581871511625,-2760.5989680765897,-2757.5871372555644,-2762.3280323495405,-2760.7621326456465,-2762.503312369877,-2748.230383635186,-2760.659439759049,-2759.4033513417985,-2760.7159993789733,-2761.7471005043158,-2760.330366147482,-2761.196604511592,-2761.5432936585185,-2761.618227198266,-2757.692021106863,-2760.7563545284916,-2761.943360257805,-2761.2868104205436,-2763.223046476036,-2764.9521086204422,-2761.579315251075,-2759.490437211791,-2759.403690566569,-2760.001080473301,-2747.472528312989,-2755.4657041547707,-2759.582011783218,-2759.7528139969672,-2757.2007874753704,-2762.288980528565,-2760.7758037338817,-2761.6927355246853,-2763.9612554250893,-2761.181219658972,-2762.3188663411233,-2759.353733878311,-2760.659064524554,-2761.4841195221643,-2761.7643346560917,-2763.1421426144298,-2765.0811304731883,-2761.6800202591185,-2761.461182097699,-2760.877278689343,-2762.545596191284,-2762.5637116075673,-2762.0951876381846,-2761.463826271403,-2760.3399980711283,-2759.4862802952484,-2766.1623589510396,-2761.16355086928,-2751.9497077938927,-2759.757899470457,-2759.6998101233353,-2758.1764951793084,-2763.644093268655,-2759.514194886306,-2761.801613950117,-2762.5032725519563,-2762.487398875994,-2758.4711962566557,-2760.2369656687833,-2761.2106399461913,-2761.3210096880503
Helicobacter acinonychis str. Sheeba,-2495.5929172395718,13136.021501022364,-2760.5552159328204,-1220.9960020442852,-1219.3605522817722,-1219.8411439861393,-1219.4607203500464,-1219.5860595029897,-1220.844235034628,-1219.480715076626,-1219.2407717316405,-1218.688803110619,-1220.8421921652382,-1219.330493522043,-1219.847382727867,-1219.8472146220297,-1217.3138013084306,-1219.6474504816863,-1220.3297352068607,-1219.8769271754886,-1217.9455445763726,-1219.4692442162866,-1219.5172968642069,-1217.2510433092434,-1219.8043470799469,-1213.6354598193877,-1212.3544110478729,-1218.9286643270877,-1220.4980056281474,-1220.292421599165,-1217.8895422825042,-1219.0608336255402,-1220.1856456010269,-1218.8079176727904,-1218.481050895364,-1219.3300682299487,-1219.3650203992438,-1219.3574367665378,-1218.9374214414265,-1219.2755068197382,-1220.8256019216967,-1220.5143976628904,-1219.4762153743054,-1221.9620102231243,-1219.1908902891737,-1221.245177308811,-1219.8497560971307,-1218.4201169295052,-1218.9351348199405,-1219.5827774950574,-1219.7997049689536,-1219.4048929877954,-1219.5797775393578,-1220.8444696142517,-1219.2665597453342,-1220.2678931669252,-1219.5798758961748,-1219.6465999602233,-1219.8352057753468,-1181.4687454689563,-1221.1870386876074,-1219.5704123298333,-1218.6588297934536,-1219.4796467259712,-1219.5730212915357,-1217.1220215292815,-1219.4649100399783,-1182.8296399458925,-1220.5140187298807,-1219.8520806268573,-1220.4528023633573,-1219.8333990053643,-1219.8452286438762,-1219.8428337855491,-1219.5481790477993,-1219.06868768497,-1218.7925727574777,-1219.8420485782528,-1219.270441837091,-1218.3232781490185,-1216.3102706682419,-1220.603144756349,-1219.8420776757807,-1220.9871819292964,-1219.8387592189872,-1221.0129608565733,-1216.313506782887,-1224.3541786792766,-1220.9808738989414,-1219.970191060035,-1219.9401838499791,-1220.9892518880195,-1219.4771455376513,-1219.308922588896,-1219.8153168259385,-1219.780952410613,-1219.5643685671175,-1219.8374223737883,-1219.5421911687113,-1218.2529903881443
Vibrio cholerae O1 biovar El Tor str. N16961,-2490.907841740681,13140.172620078501,-2758.9799333746587,-1219.3605522817722,-71.00300083241858,-71.0003143848382,-71.0142851295761,-71.00386927326524,-70.01064287019624,-71.01875337189925,-72.01929188221594,-73.11847082960571,-71.0236238260283,-73.0305646111576,-71.00583934861464,-71.02258412158821,-72.05199022048785,-71.00595594062084,-73.10075160113273,-71.00743304155222,-73.05697528710175,-72.03181961805197,-73.01750440481389,-73.09455537580342,-72.02571131018337,-77.47497761386796,-78.25906346202538,-72.00128753400047,-73.0110807252918,-73.05824714189504,-71.01923667918356,-70.99649613982507,-71.00401086774814,-72.01556000209098,-72.03998575767295,-74.03603125356669,-71.0266790939556,-72.035405482253,-73.10878911902991,-78.06555950883256,-69.99558021662124,-71.00723806970215,-71.00506110132746,-71.01882077353959,-71.00796148689244,-72.02080693167329,-71.02187675155017,-72.04234155300263,-73.13833342334819,-71.0253827737091,-73.14918678353148,-72.04402620755458,-71.00525031794186,-70.00743305388481,-73.02480731211716,-73.00750543422774,-71.02648666154302,-71.00642946632733,-71.010228992855,-72.55347882155297,-76.56610926358006,-71.02923569216692,-72.02746955752765,-71.00703473799828,-71.01254632877324,-72.05268000575067,-77.04794035852373,-77.11627245806206,-72.01504547569992,-71.00397755690386,-72.01768047907106,-70.99038318824219,-70.99479919829605,-70.99792636044664,-71.9921174678494,-72.04214098504252,-71.01999299740058,-71.02858331380759,-77.03203549366246,-73.07340912577209,-78.0676678370245,-72.54429223301555,-71.02771780168365,-71.00230796468466,-71.00497042951342,-73.01110350107011,-77.01469295927419,-80.3038413062105,-72.1078235033216,-76.01804710221973,-71.05558031738158,-77.00437568796075,-71.00685621622856,-77.00074863962564,-72.02724057889546,-71.00353366594628,-71.0063328758598,-71.00493804940123,-77.08972930984967,-77.06888645346315
Mycobacterium tuberculosis SUMu007,-2490.9803594343834,13141.782164968054,-2761.0016095495253,-1219.8411439861393,-71.0003143848382,2253.000001256743,2253.0117277840436,2253.0333574842193,2252.4953812597596,2252.993189054722,2251.223334335852,2252.326086393569,2252.9856542686543,2251.968248876733,2253.0000800733014,2252.9831789164123,2254.7383874469556,2252.999698330938,2251.2575165824423,2254.002233478388,2253.4373413460953,2253.985688415568,2251.500932272158,2255.8231295848445,2253.4931799245787,2257.588049487741,2258.502483586779,2252.2441110111204,2246.8946801458915,2247.4620549261053,2253.0106317733976,2253.00505094513,2251.6317988777537,2253.4818900042687,2254.4767355607933,2253.477924567618,2254.028602117606,2251.5308662473517,2251.3545704358885,2256.9791522362807,2256.021630257438,2253.0270851892615,2255.9999184811204,2249.567025210276,2249.5782739487677,2251.784288846313,2252.9907087134047,2252.9768901063344,2251.3242633091018,2254.989933331927,2253.4504959293567,2255.572705373257,2252.997924862549,2252.4966010400726,2250.668413324239,2252.1970645878073,2252.9912446862086,2254.0025146075523,2254.0117206143486,2255.1985552685005,2257.0890124547554,2252.991024125591,2252.933576304382,2256.0042486614816,2255.996071242112,2254.489466961072,2253.4915880567287,2254.1342690702813,2250.989431625346,2253.0028166883926,2254.0407354372833,2254.000811755246,2255.002307632635,2255.0039172227907,2251.9657389532567,2253.5493568580287,2252.499910990251,2252.476693949615,2255.0165071883025,2251.484954256251,2251.4890822537513,2251.990853392817,2252.4792065987594,2253.0003752711336,2252.493272251389,2251.9962052649025,2256.51091413223,2262.5210616770905,2256.475843425476,2255.9764219548697,2254.968039313828,2251.000931552317,2252.999539913635,2254.001433843789,2251.497248127499,2253.0007449166424,2254.010378687718,2252.995706688498,2256.474978374262,2256.4768313424106
Janibacter sp. HTCC2649,-2489.1053865198355,13136.260935301441,-2763.3543195210714,-1219.4607203500464,-71.0142851295761,2253.0117277840436,1702.0009993379317,1702.002238003024,1701.0038214687274,1702.0095094256778,1701.0349052197644,1701.0424839963905,1702.0130507729036,1701.0446717959403,1702.0046311075546,1702.0232599331825,1702.0019723130722,1702.0041556209144,1701.0185706661366,1702.0028655974324,1701.9516502484646,1702.0159896032903,1700.9848169964362,1703.0304263691876,1701.01082348197,1700.8283193098564,1701.0577591242713,1701.0047545946052,1700.9900387358284,1700.9834243540827,1702.508669055731,1702.0029665487777,1701.999342022462,1701.0117724640845,1701.003247749963,1702.9856241240016,1702.0139006626011,1700.9967257772691,1701.0406214338059,1703.025520294287,1701.00931787241,1702.0058534400978,1702.0017130858287,1701.992309576112,1702.6009974344267,1701.9919143452364,1702.0065275688162,1701.0404847872878,1701.0164311343892,1702.0173960057423,1700.9960978554102,1700.9663023432427,1702.9990021695091,1701.0052858944493,1701.0140760395943,1700.9954151493362,1702.0156363071142,1702.0057330311947,1701.9938069041414,1700.981463970549,1709.9386422798398,1702.0187398064402,1701.9935772004114,1701.989005786065,1702.0167782780318,1707.9082229925527,1702.978691173128,1700.0339160197957,1701.0186249707854,1702.0040080558472,1702.0019840486527,1702.0023670993844,1702.0090896021838,1702.0071898699262,1702.9840955722414,1700.9892219850683,1702.0061641734699,1702.0188231610064,1702.9999674132985,1702.9862864127895,1702.9921552685666,1701.9741869791012,1702.0082739701095,1701.9968173081268,1702.0065227825244,1700.9867887251673,1701.9902252184932,1702.2238717904524,1700.9657901343144,1702.0849949349056,1702.0242563125948,1701.0012386108042,1702.0041636759686,1701.0011842267252,1700.9996333524145,1701.9987411573795,1701.98468492259,1702.0069950286245,1703.014811591962,1703.034938722551
Janibacter sp. HTCC2649,-2489.684103592495,13136.69770008926,-2763.516149152473,-1219.5860595029897,-71.00386927326524,2253.0333574842193,1702.002238003024,413.00000039277774,412.995165302549,412.9757048601207,414.4674816516227,414.42415772813905,412.98140160021313,411.98925165027794,412.9930904589844,412.9807466727325,415.4649902593392,412.99389291350167,414.408926771575,412.9964771018729,411.93648817469915,412.9754755661351,411.9937821872549,416.4822309857581,416.451377189575,406.8881691296777,405.8022618440472,412.0010998791388,412.1089678422872,412.00573048112824,412.981883589654,412.99461228053985,412.9985055649808,411.9849559492606,411.97669545267024,416.4824739974436,412.97660225596354,411.9814989866393,414.4292540742107,408.44566975050844,412.9748054817656,412.9952941525617,412.99284963819855,412.9761824798332,412.99907820817083,412.94594070785246,412.9794623740925,411.97319959751,414.41003685526505,412.9620086063628,416.3994246311615,416.499012821084,412.98446549766464,412.99498745432385,411.988399911857,412.00214573033765,412.9755912828701,412.9950309872198,412.99419689455726,409.00082294263245,416.47489099329965,412.9685450536043,413.00691222850907,415.49999879693036,415.4791942946475,412.3339042509087,416.4896031908986,408.8788619882455,411.9770036300209,413.000839359603,412.97929242718584,412.99067288805975,412.99722421782667,412.99277951288354,413.001297167186,414.0150091023063,412.973640470705,412.9724590930998,414.49418583927974,409.92284866472687,409.4315436836886,411.97468616624747,412.97272650799715,413.0001967701419,412.9930163072869,411.9970982375547,415.95575297804163,403.5342476849202,416.542137189404,415.50573748726623,412.9522185210624,412.001119017493,412.9956929968814,411.996581079157,411.9933095924809,412.9951480412807,415.48958937505625,412.991065404738,416.48121672075814,416.51366659354613
Alicycliphilus denitrificans BC,-2485.6248016923414,13142.902741287608,-2764.992070790323,-1220.844235034628,-70.01064287019624,2252.4953812597596,1701.0038214687274,412.995165302549,-1732.9969997521446,-1733.010587147529,-1732.8375781561663,-1733.1674088481525,-1733.0002710191104,-1734.0263474207106,-1732.985159474515,-1731.004286161052,-1731.8451196898397,-1730.9932442314996,-1732.3815072538582,-1730.9875454930143,-1731.9302629436738,-1730.9977437880448,-1733.968078522228,-1731.522367112562,-1729.9991758823608,-1726.2393197778579,-1724.815959566303,-1734.0356306993679,-1727.238765419148,-1727.2857355564424,-1733.0069489889054,-1733.021366809159,-1730.9958872557831,-1731.9855121757985,-1731.0000488538903,-1732.997929842546,-1732.8750622317,-1735.0701663959992,-1733.18249357593,-1728.973303837618,-1730.9751032789188,-1732.9665242807173,-1731.9863451542378,-1724.887728579131,-1726.8535140604324,-1732.3702620926863,-1733.009793610888,-1732.9283105806924,-1732.1348077285222,-1734.0139448849752,-1732.0233293088766,-1730.2209423456939,-1732.980459362,-1732.9973178606654,-1734.4032827888338,-1734.911675211634,-1731.0033614723573,-1730.9891148398242,-1734.650793756576,-1735.5146334908916,-1728.0346088498327,-1733.0031560065036,-1733.0845603538173,-1730.9696355513586,-1731.0090051932452,-1727.0287067377458,-1729.969223521178,-1734.3130460217264,-1725.0134471249542,-1732.9947972250636,-1730.9113123413163,-1732.9834238917997,-1732.9949291164928,-1732.9871985316533,-1733.041070634138,-1732.0294512268445,-1733.0315014978848,-1733.000928234908,-1732.9771995660153,-1727.0055263774768,-1727.009963839707,-1733.524195462845,-1733.0033911196276,-1732.993871796389,-1732.9887349827964,-1732.0221048659191,-1729.4102517409026,-1722.597905595043,-1732.043686780274,-1733.0135419108642,-1730.9904250795123,-1731.9878190943405,-1730.9880270507247,-1732.9870057883438,-1731.9859926900135,-1732.987637208609,-1730.9777859719952,-1730.9837068998188,-1728.9942967815587,-1728.0253010242202
Escherichia coli SE15,-2491.387908510493,13136.881401153381,-2760.5285128014975,-1219.480715076626,-71.01875337189925,2252.993189054722,1702.0095094256778,412.9757048601207,-1733.010587147529,-2515.0019991273703,-2511.136542651367,-2510.0107654549583,-2516.007714676668,-2584.9801345532474,-2515.0029318260144,-2515.0090060172915,-2516.594014335261,-2514.9776967158737,-2510.229192350902,-2515.0017098098083,-2516.0562780025152,-2509.5868721443585,-2516.4984906062205,-2580.088825068508,-2578.004609767501,-2576.4332465208813,-2576.4165876053676,-2515.7768884015877,-2518.945981315783,-2519.068995756325,-2512.5678437205925,-2517.502214483741,-2512.3558962423654,-2515.284069059704,-2515.1478599785496,-2579.0489910905176,-2515.205005113736,-2579.1806135183624,-2510.0140234602854,-2515.024292382099,-2510.6552626963867,-2513.730794107966,-2514.9752200290677,-2516.9559196301884,-2516.0128334071737,-2516.6811627510756,-2515.0038713083127,-2517.30515944649,-2510.3990389477835,-2515.9543231005596,-2512.9569377561065,-2578.0134144441054,-2514.0154959508873,-2506.8629398824287,-2517.8335645602606,-2517.7634326284333,-2514.970497545852,-2514.9692255722766,-2517.012755652458,-2510.851135364686,-2577.1108191309377,-2514.971228788545,-2580.7065359507624,-2582.076798345035,-2513.9796891728433,-2511.2430433755476,-2577.9393538774343,-2509.5795531779763,-2515.474317374925,-2514.9515567283916,-2513.9248626890885,-2511.009501013436,-2513.6308857272643,-2513.6641323319213,-2508.3041902208124,-2519.423710204365,-2515.219472625493,-2514.957275475267,-2514.9942651717943,-2510.294720488262,-2510.768826812915,-2515.490510927353,-2514.9941090929187,-2514.9918313708927,-2514.9901384166087,-2515.9984701177123,-2576.864496674847,-2578.844617925787,-2511.9445388607965,-2515.0140935649642,-2509.071348378871,-2508.99748153661,-2514.967874183145,-2511.9824850530063,-2580.027882277678,-2514.975119720643,-2582.003130022322,-2514.9728776100856,-2578.2783959672147,-2579.264512922891
