code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number,file_name
282458.4,Staphylococcus aureus subsp. aureus MRSA252,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35,282458.4.txt
370551.4,Streptococcus pyogenes MGAS9429,Streptococcus,pyogenes,Streptococcus pyogenes,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,370551.4.txt
282458.1,Staphylococcus aureus subsp. aureus MRSA252,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35,282458.1.txt
382638.14,Helicobacter acinonychis str. Sheeba,Helicobacter,acinonychis,Helicobacter acinonychis,chicken;feces;sediment;chemocline,4,382638.14.txt
243277.26,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio,cholerae,Vibrio cholerae,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18,243277.26.txt
675518.3,Mycobacterium tuberculosis SUMu007,Mycobacterium,tuberculosis,Mycobacterium tuberculosis,soil;water;blood;lake;biofilm;river;wash;lymph;sludge;sediment;bone;hospital;rock;air;mine;stream;permafrost;wetland,18,675518.3.txt
313589.3,Janibacter sp. HTCC2649,Janibacter,sp.,Janibacter sp.,clay;air;water;soil;sludge,5,313589.3.txt
313589.5,Janibacter sp. HTCC2649,Janibacter,sp.,Janibacter sp.,clay;air;water;soil;sludge,5,313589.5.txt
596153.4,Alicycliphilus denitrificans BC,Alicycliphilus,denitrificans,Alicycliphilus denitrificans,sludge,1,596153.4.txt
431946.3,Escherichia coli SE15,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,431946.3.txt
453362.3,Streptococcus pneumoniae CDC1873-00,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,453362.3.txt
453362.4,Streptococcus pneumoniae CDC1873-00,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,453362.4.txt
246196.1,Mycobacterium smegmatis str. MC2 155,Mycobacterium,smegmatis,Mycobacterium smegmatis,soil;water;blood;lake;biofilm;river;wash;lymph;sludge;sediment;bone;hospital;rock;air;mine;stream;permafrost;wetland,18,246196.1.txt
469590.5,Bacteroides sp. 2_2_4,Bacteroides,sp.,Bacteroides sp.,faeces;feces;leachate;waste;soil;sludge;bioreactor;cave,8,469590.5.txt
526997.3,Bacillus mycoides DSM 2048,Bacillus,mycoides,Bacillus mycoides,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74,526997.3.txt
246197.24,Myxococcus xanthus DK 1622,Myxococcus,xanthus,Myxococcus xanthus,soil;garden,2,246197.24.txt
536231.5,Roseburia intestinalis L1-82,Roseburia,intestinalis,Roseburia intestinalis,faeces,1,536231.5.txt
469598.5,Escherichia sp. 3_2_53FAA,Escherichia,sp.,Escherichia sp.,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,469598.5.txt
488223.4,Streptococcus pneumoniae P1031,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,488223.4.txt
526987.3,Bacillus cereus Rock4-2,Bacillus,cereus,Bacillus cereus,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74,526987.3.txt
85963.7,Helicobacter pylori J99,Helicobacter,pylori,Helicobacter pylori,chicken;feces;sediment;chemocline,4,85963.7.txt
351016.3,Roseobacter sp. AzwK-3b,Roseobacter,sp.,Roseobacter sp.,oil;ocean;sea;soil;sediment;fjord;water,7,351016.3.txt
85963.1,Helicobacter pylori J99,Helicobacter,pylori,Helicobacter pylori,chicken;feces;sediment;chemocline,4,85963.1.txt
411471.5,Subdoligranulum variabile DSM 15176,Subdoligranulum,variabile,Subdoligranulum variabile,feces,1,411471.5.txt
565636.4,Enterococcus faecalis T1,Enterococcus,faecalis,Enterococcus faecalis,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21,565636.4.txt
314723.3,Borrelia hermsii DAH,Borrelia,hermsii,Borrelia hermsii,blood,1,314723.3.txt
314723.4,Borrelia hermsii DAH,Borrelia,hermsii,Borrelia hermsii,blood,1,314723.4.txt
314266.4,Sphingomonas sp. SKA58,Sphingomonas,sp.,Sphingomonas sp.,soil;field;mine;pond;reservoir;air;water;marsh;sludge;plateau;lake;mountain;sea;sand;sediment;biofilter;forest;rhizosphere;stream;textile;dust;cave;gut;clay;flat;permafrost;rock;waste,28,314266.4.txt
