full_name,first_name,second_name,abbreviated_name,locations,location_number,file_name,loc_union
Staphylococcus aureus subsp. aureus MRSA252,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35,282458.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/282458.4.npy
Streptococcus pyogenes MGAS9429,Streptococcus,pyogenes,Streptococcus pyogenes,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,370551.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/370551.4.npy
Staphylococcus aureus subsp. aureus MRSA252,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35,282458.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/282458.1.npy
Helicobacter acinonychis str. Sheeba,Helicobacter,acinonychis,Helicobacter acinonychis,chicken;feces;sediment;chemocline,4,382638.14.txt,data_organism_reactions/Equal_Stoichiometric_matrices/382638.14.npy
Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio,cholerae,Vibrio cholerae,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18,243277.26.txt,data_organism_reactions/Equal_Stoichiometric_matrices/243277.26.npy
Mycobacterium tuberculosis SUMu007,Mycobacterium,tuberculosis,Mycobacterium tuberculosis,soil;water;blood;lake;biofilm;river;wash;lymph;sludge;sediment;bone;hospital;rock;air;mine;stream;permafrost;wetland,18,675518.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/675518.3.npy
Janibacter sp. HTCC2649,Janibacter,sp.,Janibacter sp.,clay;air;water;soil;sludge,5,313589.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/313589.3.npy
Janibacter sp. HTCC2649,Janibacter,sp.,Janibacter sp.,clay;air;water;soil;sludge,5,313589.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/313589.5.npy
Alicycliphilus denitrificans BC,Alicycliphilus,denitrificans,Alicycliphilus denitrificans,sludge,1,596153.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/596153.4.npy
Escherichia coli SE15,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,431946.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/431946.3.npy
Streptococcus pneumoniae CDC1873-00,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,453362.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/453362.3.npy
Streptococcus pneumoniae CDC1873-00,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,453362.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/453362.4.npy
Mycobacterium smegmatis str. MC2 155,Mycobacterium,smegmatis,Mycobacterium smegmatis,soil;water;blood;lake;biofilm;river;wash;lymph;sludge;sediment;bone;hospital;rock;air;mine;stream;permafrost;wetland,18,246196.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/246196.1.npy
Bacteroides sp. 2_2_4,Bacteroides,sp.,Bacteroides sp.,faeces;feces;leachate;waste;soil;sludge;bioreactor;cave,8,469590.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/469590.5.npy
Bacillus mycoides DSM 2048,Bacillus,mycoides,Bacillus mycoides,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74,526997.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/526997.3.npy
Myxococcus xanthus DK 1622,Myxococcus,xanthus,Myxococcus xanthus,soil;garden,2,246197.24.txt,data_organism_reactions/Equal_Stoichiometric_matrices/246197.24.npy
Roseburia intestinalis L1-82,Roseburia,intestinalis,Roseburia intestinalis,faeces,1,536231.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/536231.5.npy
