"n","Reaction","NAME.EQ"
"1","palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Palmitoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"2","anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"3","myristoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Myristoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"4","isohexadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"5","stearoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Stearoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"6","isoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"7","isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"8","isopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"9","anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"10","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"11","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"12","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"13","FMNH2-dependent monooxygenase (methanesulfonate)","O2 + FMNH2 + methanesulfonate <=> H2O + FMN + Methanal + HSO3-"
"14","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"15","FMNH2-dependent monooxygenase","O2 + FMNH2 + Isethionate <=> H2O + FMN + HSO3- + Glycolaldehyde"
