"n","Reaction","NAME.EQ"
"1","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"2","cysteine synthase (Thiosulfate)","H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox"
"3","peptide-methionine:thioredoxin-disulfide S-oxidoreductase","H2O + trdox + Peptide-L-methionine <=> trdrd + Peptide-L-methionine (R)-S-oxide"
"4","adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase","PAPS + trdrd <=> PAP + HSO3- + trdox"
"5","APSPTi","APS + trdrd <=> AMP + HSO3- + trdox"
"6","2'-Deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase","H2O + dCDP + trdox <=> CDP + trdrd"
"7","hydrogen-sulfide:NADP+ oxidoreductase","3 H2O + 3 TPN + H2S <=> 3 TPNH + 4 H+ + HSO3-"
"8","L-methionine:oxidized-thioredoxin S-oxidoreductase","H2O + Methionine + trdox <=> L-Methionine S-oxide + trdrd"
"9","L-methionine R-oxide reductase (trdrd)","trdrd + L-methionine R-oxide <=> H2O + Methionine + trdox"
"10","rxn00625","S + HSO3- <=> H+ + H2S2O3"
"11","Ribonucleotide reductase: GDP","GDP + trdrd <=> H2O + dGDP + trdox"
"12","2'-Deoxyuridine 5'-diphosphate:oxidized-thioredoxin","H2O + dUDP + trdox <=> UDP + trdrd"
"13","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S + O-Acetyl-L-homoserine <=> ACET + H+ + L-Homocysteine"
"14","Ribonucleotide reductase: ADP","ADP + trdrd <=> H2O + dADP + trdox"
"15","TRDR","TPNH + H+ + trdox <=> TPN + trdrd"
