"n","Reaction","NAME.EQ"
"1","Fatty acid oxidation (double bond on odd num. carbon), peroxisomal","8 H2O + 8 NAD + 7 O2 + 8 CoA + Octadecenoyl-CoA <=> 8 NADH + 9 Acetyl-CoA + 7 H2O2 + 8 H+"
"2","Fatty acid oxidation (double bond on odd num. carbon), peroxisomal","7 H2O + 7 NAD + 6 O2 + 7 CoA + Hexadecenoyl-CoA <=> 7 NADH + 8 Acetyl-CoA + 6 H2O2 + 7 H+"
"3","stearoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Stearoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"4","palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Palmitoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"5","myristoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Myristoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"6","isopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"7","anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"8","isoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"9","isohexadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"10","isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"11","anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted","24 UDP-N-acetylglucosamine + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted => 24 UDP + Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"12","ammonium-hydroxide:NADP+ oxidoreductase","2 H2O + 3 NAD + NH3 <=> 3 NADH + 5 H+ + Nitrite"
"13","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"14","fatty-acid--CoA ligase (octadecenoate)","ATP + CoA + H+ + octadecenoate <=> PPi + AMP + Octadecenoyl-CoA"
"15","fatty-acid--CoA ligase (hexadecenoate), peroxisomal","ATP + CoA + H+ + hexadecenoate <=> PPi + AMP + Hexadecenoyl-CoA"
