"n","Reaction","NAME.EQ"
"1","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"2","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"3","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"4","FMNH2-dependent monooxygenase","O2 + FMNH2 + Isethionate <=> H2O + FMN + HSO3- + Glycolaldehyde"
"5","cob(II)yrinic acid-a,c-diamide:FMN oxidoreductase","FMNH2 + 2 Cob(II)yrinate diamide <=> FMN + 2 H+ + 2 Cob(I)yrinate diamide"
"6","Peptidoglycan subunit synthesis","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala + Peptidoglycan polymer (n-1 subunits) => Undecaprenyldiphosphate + Peptidoglycan polymer (n subunits)"
"7","FMNH2-dependent monooxygenase (methanesulfonate)","O2 + FMNH2 + methanesulfonate <=> H2O + FMN + Methanal + HSO3-"
"8","FMNH2-dependent monooxygenase (ethanesulfonate)","O2 + FMNH2 + ethanesulfonate <=> H2O + FMN + AALD + HSO3-"
"9","FMNH2-dependent monooxygenase (sulfoacetate)","O2 + FMNH2 + Sulfoacetate <=> H2O + Glyoxylate + FMN + HSO3-"
"10","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"11","di-trans,poly-cis-Decaprenyl-diphosphate:isopentenyl-diphosphate","7 Isopentenyldiphosphate + trans,trans,cis-Geranylgeranyl diphosphate <=> 7 PPi + Undecaprenyldiphosphate"
"12","cysteine synthase (Thiosulfate)","H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox"
"13","fatty-acyl-ACP synthase (n-C18:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Malonyl-acyl-carrierprotein- + Palmitoyl-ACP <=> 3 H2O + 3 TPN + CO2 + ACP + Octadecenoyl-ACP"
"14","sulfur:oxygen oxidoreductase (hydrogen-sulfide- and sulfite-forming)","4 H2O + O2 + 4 S <=> 2 H+ + 2 HSO3- + 2 H2S"
"15","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
