"n","Reaction","NAME.EQ"
"1","C180SN","16 TPNH + 23 H+ + Acetoacetyl-ACP + 7 Malonyl-acyl-carrierprotein- <=> 8 H2O + 16 TPN + 7 CO2 + 7 ACP + Octadecanoyl-ACP"
"2","reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)","16 H2O + 16 ATP + N2 + 8 Reducedferredoxin <=> 16 ADP + 16 Phosphate + 2 NH3 + 6 H+ + 8 Oxidizedferredoxin + H2"
"3","FMN-dependent monooxygenase (hexanesulfonate)","O2 + FMNH2 + hexanesulfonate <=> H2O + FMN + HSO3- + hexanal"
"4","FMNH2-dependent monooxygenase (butanesulfonate)","O2 + FMNH2 + butanesulfonate <=> H2O + FMN + HSO3- + Butanal"
"5","FMN-dependent monooxygenase (taurine)","O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde"
"6","O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)","H2S2O3 + O-Acetyl-L-homoserine + trdrd <=> ACET + HSO3- + L-Homocysteine + trdox"
"7","cysteine synthase (Thiosulfate)","H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox"
"8","FMNH2-dependent monooxygenase","O2 + FMNH2 + Isethionate <=> H2O + FMN + HSO3- + Glycolaldehyde"
"9","FMNH2-dependent monooxygenase (methanesulfonate)","O2 + FMNH2 + methanesulfonate <=> H2O + FMN + Methanal + HSO3-"
"10","Fatty acid oxidation (double bond on even num. carbon), peroxisomal","8 H2O + 8 NAD + TPNH + 8 O2 + 8 CoA + Octadecenoyl-CoA <=> 8 NADH + TPN + 9 Acetyl-CoA + 8 H2O2 + 7 H+"
"11","FMNH2-dependent monooxygenase (ethanesulfonate)","O2 + FMNH2 + ethanesulfonate <=> H2O + FMN + AALD + HSO3-"
"12","FMNH2-dependent monooxygenase (sulfoacetate)","O2 + FMNH2 + Sulfoacetate <=> H2O + Glyoxylate + FMN + HSO3-"
"13","Fatty acid oxidation (double bond on even num. carbon), peroxisomal","7 H2O + 7 NAD + TPNH + 7 O2 + 7 CoA + Hexadecenoyl-CoA <=> 7 NADH + TPN + 8 Acetyl-CoA + 7 H2O2 + 6 H+"
"14","adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase","PAPS + trdrd <=> PAP + HSO3- + trdox"
"15","peptide-methionine:thioredoxin-disulfide S-oxidoreductase","H2O + trdox + Peptide-L-methionine <=> trdrd + Peptide-L-methionine (R)-S-oxide"
