,code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number
0,282458.4,Staphylococcus aureus subsp. aureus MRSA252,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35
1,282458.1,Staphylococcus aureus subsp. aureus MRSA252,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35
2,243277.26,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio,cholerae,Vibrio cholerae,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18
3,313589.3,Janibacter sp. HTCC2649,Janibacter,sp.,Janibacter sp.,clay;air;water;soil;sludge,5
4,313589.5,Janibacter sp. HTCC2649,Janibacter,sp.,Janibacter sp.,clay;air;water;soil;sludge,5
5,431946.3,Escherichia coli SE15,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
6,453362.3,Streptococcus pneumoniae CDC1873-00,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16
7,453362.4,Streptococcus pneumoniae CDC1873-00,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16
8,469590.5,Bacteroides sp. 2_2_4,Bacteroides,sp.,Bacteroides sp.,faeces;feces;leachate;waste;soil;sludge;bioreactor;cave,8
9,526997.3,Bacillus mycoides DSM 2048,Bacillus,mycoides,Bacillus mycoides,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74
