id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,evenness,cellcount,gini_thas,gini_wittebolle,LMG7866,LMG3203,LMG7878,LMG2954,replica
1,1875000,1875,937.5,1875,1875,937.5,1875,937.5,937.5,1875,0.024481367,1888125,0.812765189,0.894041708,2,2,4,7,1
2,789.4736842,1578.947368,1578947.368,1578.947368,1578.947368,1578.947368,1578.947368,1578.947368,1578.947368,1578.947368,0.029110226,1592368.421,0.810880245,0.89196827,1,9,1,4,1
3,1250,1250,12500,2500,1250,1250,1250,1250,1250,2500000,0.02991985,2523750,0.813138818,0.894452699,21,0,17,11,1
4,1250,1250,1250,1250,2500,12500,1250,1250,1250,2500000,0.02991985,2523750,0.813138818,0.894452699,14,0,12,18,1
5,1153.846154,11538.46154,1153.846154,2307692.308,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,2307.692308,0.031458245,2330769.231,0.812871287,0.894158416,11,2,31,29,1
6,1153.846154,11538.46154,2307.692308,2307692.308,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,1153.846154,0.031458245,2330769.231,0.812871287,0.894158416,0,0,0,20,1
7,11538.46154,2307692.308,1153.846154,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,2307.692308,1153.846154,0.031458245,2330769.231,0.812871287,0.894158416,6,7,1,6,1
8,1071.428571,10714.28571,1071.428571,1071.428571,2142857.143,2142.857143,2142.857143,1071.428571,1071.428571,2142.857143,0.032995224,2165357.143,0.812514057,0.893765463,18,7,5,19,1
9,10714.28571,1071.428571,2142857.143,2142.857143,2142.857143,2142.857143,1071.428571,1071.428571,1071.428571,1071.428571,0.032995224,2165357.143,0.812514057,0.893765463,5,2,1,17,1
10,1071.428571,2142.857143,2142.857143,1071.428571,1071.428571,1071.428571,10714.28571,1071.428571,2142.857143,2142857.143,0.032995224,2165357.143,0.812514057,0.893765463,8,8,7,19,1
11,1071.428571,1071.428571,1071.428571,2142.857143,2142.857143,2142.857143,2142857.143,1071.428571,1071.428571,10714.28571,0.032995224,2165357.143,0.812514057,0.893765463,7,10,19,27,1
12,1071.428571,1071.428571,1071.428571,2142.857143,2142.857143,2142.857143,1071.428571,1071.428571,2142857.143,10714.28571,0.032995224,2165357.143,0.812514057,0.893765463,2,11,8,17,1
13,10000,1000,1000,2000,1000,2000,2000,2000,2000000,1000,0.03453079,2022000,0.81206726,0.893273986,2,5,13,26,1
14,2000,2000,2000,2000,1000,1000,1000,1000,2000000,10000,0.03453079,2022000,0.81206726,0.893273986,14,6,4,19,1
15,2000,2000000,1000,1000,2000,10000,1000,2000,2000,1000,0.03453079,2022000,0.81206726,0.893273986,2,4,20,15,1
16,2000,2000,1000,1000,2000,10000,2000,2000000,1000,1000,0.03453079,2022000,0.81206726,0.893273986,12,5,4,22,1
17,1153.846154,2307.692308,2307.692308,1153.846154,1153846.154,1153.846154,1153.846154,1153.846154,1153.846154,2307.692308,0.038968872,1167692.308,0.809019044,0.889920949,0,0,0,26,1
18,1363.636364,1363.636364,1363.636364,1363636.364,1363.636364,1363.636364,1363.636364,1363.636364,2727.272727,13636.36364,0.053707001,1389545.455,0.808189847,0.889008832,4,0,3,15,1
19,1153.846154,2307.692308,1153.846154,1153846.154,2307.692308,1153.846154,1153.846154,11538.46154,1153.846154,2307.692308,0.059166604,1178076.923,0.806962871,0.887659158,15,0,5,11,1
20,1153.846154,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,2307.692308,11538.46154,1153846.154,1153.846154,0.059166604,1178076.923,0.806962871,0.887659158,5,0,17,18,1
21,1153846.154,1153.846154,2307.692308,1153.846154,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,11538.46154,0.059166604,1178076.923,0.806962871,0.887659158,2,0,6,10,1
22,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,2307.692308,1153.846154,1153846.154,11538.46154,1153.846154,0.059166604,1178076.923,0.806962871,0.887659158,4,0,11,14,1
23,1071.428571,2142.857143,2142.857143,2142.857143,10714.28571,1071.428571,2142.857143,1071.428571,1071.428571,1071428.571,0.061889017,1095000,0.806084327,0.886692759,6,1,6,15,1
24,1071.428571,2142.857143,10714.28571,1071428.571,2142.857143,1071.428571,2142.857143,1071.428571,2142.857143,1071.428571,0.061889017,1095000,0.806084327,0.886692759,4,0,3,17,1
25,1153.846154,1153.846154,2307.692308,2307.692308,230769.2308,1153.846154,1153.846154,1153.846154,1153.846154,1153.846154,0.13750464,243461.5385,0.776820336,0.85450237,6,15,1,14,1
26,1875,937.5,937.5,937.5,1875,1875,937.5,1875,187500,1875,0.165851628,200625,0.767204758,0.843925234,17,15,10,13,1
27,176470.5882,1764.705882,1764.705882,1764.705882,1764.705882,1764.705882,882.3529412,882.3529412,1764.705882,882.3529412,0.175143767,189705.8824,0.762367865,0.838604651,9,1,4,19,1
28,1764.705882,1764.705882,882.3529412,1764.705882,1764.705882,176470.5882,882.3529412,1764.705882,1764.705882,882.3529412,0.175143767,189705.8824,0.762367865,0.838604651,9,7,12,30,1
29,1250,1250,12500,1250,1250,1250,2500,1250,250000,1250,0.190635626,273750,0.771689498,0.848858447,6,13,14,16,1
30,1250,12500,1250,250000,1250,2500,1250,1250,1250,1250,0.190635626,273750,0.771689498,0.848858447,2,4,5,27,1
31,1153.846154,230769.2308,1153.846154,11538.46154,2307.692308,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,10,11,18,27,1
32,1153.846154,1153.846154,11538.46154,2307.692308,1153.846154,230769.2308,1153.846154,2307.692308,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,18,6,4,15,1
33,11538.46154,230769.2308,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,10,13,19,16,1
34,2142.857143,214285.7143,1071.428571,1071.428571,1071.428571,1071.428571,2142.857143,2142.857143,10714.28571,1071.428571,0.208590558,236785.7143,0.766351296,0.842986425,4,15,25,22,1
35,2142.857143,1071.428571,1071.428571,2142.857143,1071.428571,214285.7143,2142.857143,1071.428571,1071.428571,10714.28571,0.208590558,236785.7143,0.766351296,0.842986425,22,7,17,20,1
36,10714.28571,2142.857143,2142.857143,1071.428571,1071.428571,1071.428571,214285.7143,2142.857143,1071.428571,1071.428571,0.208590558,236785.7143,0.766351296,0.842986425,17,23,5,14,1
