first_name,last_name,title,format,link,save
 Andualem,Abate Woldeyohannis,Electrochemical recovery of nitrogen from digestate,"; 2012, Thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/andualem_thesis_final.pdf,andualem_thesis_final.pdf
 Moses Odhiambo,Abonga,Arsenic bioaccessibility under variable physiological conditions of the human gut,", 2012, Thesis M.Sc Environmental Sanitation",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/moses_odhiambo_abonga_thesis_2012.pdf,moses_odhiambo_abonga_thesis_2012.pdf
 Peter,Aelterman,Nano-precipitatie van metalen door Shewanella oneindensis in relatie tot biocorrosie en biokatalyse,", 2004, Thesis bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_finaal_-_bijgewerkt.pdf,Thesis_finaal_-_bijgewerkt.pdf
 Peter,Aelterman,Microbial Fuel cells for the treatment of waste streams with energy recovery,", 2009, PhD Thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/PhdThesis_finaal_-_bijgewerkt.pdf,PhdThesis_finaal_-_bijgewerkt.pdf
 Jan B.A.,Arends,Optimizing the plant microbial fuel cell: diversifying applications and product outputs,", 2013, PhD Thesis",/sites/default/files/userfiles/u1181/PhD_Thesis_JBA_Arends_for_printing.pdf,PhD_Thesis_JBA_Arends_for_printing.pdf
 Ngoc,Bao Ngo,Optimizing the anaerobic conversion of freshwater and saline algae,", 2009, ManaMa thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_Bao.pdf,Thesis_Bao.pdf
 Nicolas,Barraud,Nitric oxide-mediated differentiation and dispersal in bacterial biofilms,", 2007, PhD thesis - The University of New South Wales Sydney, Australia",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/PhD_thesis_N_Barraud.pdf,PhD_thesis_N_Barraud.pdf
 Thas,Basadre Castro,Bio-production of VFAs as a waste treatment strategy of bio-refinery thin stillage,", 2014, Thesis - Erasmus",/sites/default/files/userfiles/u1501/THESIS%20Thais.pdf,THESIS%20Thais.pdf
 Karla,Berckmoes,Controlestrategien voor een optimale microbile balans in OLAND-systemen,", 2012, Thesis ManaMa Milieusanering en Milieubeheer",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/masterproef_karla_berckmoes_2012.pdf,masterproef_karla_berckmoes_2012.pdf
 Evelyne,Blondeel,DE SEDIMENT MICROBILE BRANDSTOFCEL ALS INSTRUMENT VOOR HET TERUGDRINGEN VAN METHAANEMISSIES UIT RIJSTVELDEN,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/EvelyneBlondeel-IMMITE431-142576-1307701136-THESIS_Evelyne_Blondeel.pdf,EvelyneBlondeel-IMMITE431-142576-1307701136-THESIS_Evelyne_Blondeel.pdf
 Charlotte,Boeckaert,Effect of algae on rumen biohydrogenation of polyunsaturated fatty acids,", 2008, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Doctorate_charlotte.pdf,Doctorate_charlotte.pdf
 Selin,Bolca,Bioavailability of phytoestrogens from soy and hops,", 2010, PhD Thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Thesis_selin_bolca.pdf,Phd_Thesis_selin_bolca.pdf
 Nico,Boon,Bio-augmentatie van actief-slibreactoren voor de versnelde afbraak van chlooranilines,", 2002, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Doctorate_Nico_Boon.pdf,Doctorate_Nico_Boon.pdf
 Benjamin,Buysschaert,Development of the Skin Community Interaction (SCIN) simulation to examine skin odour formation,", 2013, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Benjamin_Buysschaert_Thesis_2012-2013.pdf,Benjamin_Buysschaert_Thesis_2012-2013.pdf
 Jonas,Buyle,Propionzuurremediatie in anaerobe vergisting,", 2008, Thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Propionzuurremediatie_in_anaerobe_vergisting.pdf,Propionzuurremediatie_in_anaerobe_vergisting.pdf
 Tom,Callewaert,"Een nieuwe route voor de productie van 1,3-propaandiol vanuit glycerol in BES",", 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/thesis_-_tom_callewaert_20130606.pdf,thesis_-_tom_callewaert_20130606.pdf
 Dennis,Cardoen,concentration techniques for zero-waste water treatment,", 2011, Thesis M.Sc. in ENVIRONMENTAL SANITATION",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Cardoen%20Dennis%20-%20sept2011%20-%20upconcentration%20techniques%20for%20zero-waste%20water%20treatment.pdf,Cardoen%20Dennis%20-%20sept2011%20-%20upconcentration%20techniques%20for%20zero-waste%20water%20treatment.pdf
