key,count
felis,1
putida,6
Rhodococcus,4
Flavobacteria,2
asaccharolytica,1
Flavobacteriaceae,1
Mesorhizobium,1
Pedobacter,1
Brevundimonas,1
extorquens,1
Comamonas,2
Enterobacter,3
Methylosinus,2
Thiobacillus,59
coli,2
Paracoccus,5
Caulobacter,1
Eubacterium,1
Sphingomonas,3
faecalis,3
oxydans,1
Bacteroidetes,2
Sphingobacterium,1
Bacillus,2
Methylobacterium,2
Helicobacter,1
loti,1
Verrucomicrobium,1
Xanthomonas,9
acidovorans,2
Pseudomonas,16
Bacteroides,2
Cellulophaga,1
trichosporium,1
Acidithiobacillus,13
minor,5
mirum,1
europaea,2
Marinomonas,1
uncultured,1
Moraxella,1
Magnetospirillum,1
glutamicum,4
Afipia,2
Arthrobacter,2
pullorum,1
Stenotrophomonas,5
Hyphomicrobium,200
Nitrosomonas,4
fermentans,1
Corynebacterium,1
marine,1
Actinosynnema,1
crescentus,1
spinosum,1
gryphiswaldense,1
Mycobacterium,1
mobile,2
testosteroni,1
bacterium,11
Nitrobacter,4
Campylobacter,1
Pseudoxanthomonas,1
campestris,1
Acinetobacter,2
denitrificans,6
Rhodoferax,1
heparinus,1
Nitrosospira,1
maltophilia,1
Flavobacterium,1
