key,count
rectale,23
subtilis,4
anthracis,3
radiodurans,2
longum,4
avium,6
mucosa,11
alpha,1
desulfuricans,2
Ruminococcus,1
coli,30
smithii,3
Eubacterium,5
meningitidis,1
leptum,18
Staphylococcus,6
Desulfotomaculum,1
Bifidobacterium,5
bacterium,3
Sulfurospirillum,1
paracasei,4
butyricum,2
Methanobrevibacter,3
delbrueckii,2
difficile,5
enterica,1
Neisseria,1
Nocardia,2
Salmonella,11
Verrucomicrobiae,1
Escherichia,19
lactis,16
cereus,1
Bacillus,17
deleyianum,1
Faecalibacterium,14
aureus,3
Streptomyces,2
halodurans,1
Lachnospiraceae,2
thetaiotaomicron,1
minor,3
Propionibacterium,1
Yersinia,2
plantarum,3
fragilis,3
Bacteroides,20
Roseburia,22
prausnitzii,31
Prevotella,2
Lactobacillus,15
Mycobacterium,10
Enterobacteriaceae,7
Bacteroidetes,11
Desulfovibrio,11
Deinococcus,3
Lactococcus,8
limosum,2
adolescentis,2
oral,3
Clostridium,74
comes,4
