key,count
Aeromonas,4
putida,1
subtilis,1
Synechococcus,2
licheniformis,4
Anabaena,2
desulfuricans,1
gallinarum,1
coli,15
hydrophila,1
Geobacter,36
Eubacterium,1
japonicum,1
Shewanella,15
vulgaris,5
bacterium,33
Sulfurospirillum,2
Clostridium,8
butyricum,4
cinerea,1
aggregans,1
Proteus,4
variabilis,2
Pseudomonas,83
metallireducens,3
Actinobacillus,1
ferrireducens,7
thermoglucosidasius,1
Escherichia,9
lactis,5
casei,1
faecalis,14
Azospirillum,1
Bradyrhizobium,1
deleyianum,2
Streptococcus,2
oneidensis,4
Rhodoferax,9
plantarum,2
Fibrobacter,1
Comamonas,1
marine,2
Bacteroides,1
sulfurreducens,17
faecium,15
Erwinia,3
Lactobacillus,12
mobile,4
testosteroni,1
aeruginosa,72
Bacillus,13
Desulfovibrio,4
Enterococcus,21
Lactococcus,2
Azotobacter,1
cereus,2
Azoarcus,2
putrefaciens,5
minor,2
Rhodobacter,1
