key,count
Klebsiella,4
Vibrio,7
Thermoproteus,1
Shigella,6
pneumoniae,5
Peptostreptococcus,1
hallii,1
Weissella,1
mucosa,2
Acinetobacter,1
phage,297
baumannii,1
coli,24
faecium,1
Eubacterium,1
sonnei,1
marine,3
cloacae,5
Staphylococcus,18
Listeria,2
Bifidobacterium,5
bacterium,5
monocytogenes,3
Clostridium,3
difficile,1
enterica,1
Pseudomonas,7
Atopobium,1
Salmonella,6
Escherichia,15
Desulfitobacterium,1
acidophilus,1
uncultured,4
Enterobacter,275
aureus,6
Prevotella,2
Streptococcus,4
tuberculosis,1
Propionibacterium,1
fragilis,4
Synechococcus,1
Bacteroides,7
fluorescens,1
Veillonella,1
Lactobacillus,40
Mycobacterium,3
Enterobacteriaceae,4
aeruginosa,3
Enterococcus,11
Campylobacter,2
pneumonia,1
Proteus,7
rhamnosus,2
reuteri,1
Ruminococcus,2
Micrococcus,2
oral,13
vulnificus,3
Flavobacterium,1
