key,count
Klebsiella,1
casseliflavus,2
typhimurium,2
pneumoniae,3
longum,5
avium,1
mucosa,10
coli,39
Listeria,2
faecalis,27
Bifidobacterium,24
reuteri,69
Clostridium,3
Streptococcus,1
difficile,2
enterica,4
Pseudomonas,1
Salmonella,7
Escherichia,21
lactis,1
casei,5
acidophilus,18
Faecalibacterium,1
Pediococcus,8
breve,1
Bacteroides,1
Roseburia,1
acidilactici,28
Lactobacillus,49
monocytogenes,1
Mycobacterium,2
Enterobacteriaceae,2
bifidum,7
aeruginosa,6
Bacteroidetes,2
Enterococcus,11
Campylobacter,1
rhamnosus,16
Citrobacter,1
adolescentis,3
