key,count
Klebsiella,1
Bacillus,1
buchneri,1
Shigella,1
centrale,1
typhimurium,1
rectale,5
hallii,2
bifidum,1
mucosa,12
Comamonas,1
Ruminococcus,2
coli,13
smithii,1
faecium,1
Eubacterium,31
Staphylococcus,1
intestinalis,3
Bifidobacterium,8
prausnitzii,23
reuteri,309
Clostridium,27
butyricum,1
Methanobrevibacter,1
ruminantium,1
difficile,2
enterica,10
Salmonella,145
Escherichia,9
minor,1
rhamnosus,2
aureus,1
uncultured,2
Enterobacter,3
pylori,1
Streptococcus,1
thetaiotaomicron,1
hominis,1
Propionibacterium,4
fragilis,4
Helicobacter,1
Roseburia,43
Faecalibacterium,28
Prevotella,3
Lactobacillus,372
mobile,2
testosteroni,1
Bacteroidetes,5
Enterococcus,3
brevis,2
lactis,1
bacterium,3
Citrobacter,2
adolescentis,1
Bacteroides,6
oral,1
Brachyspira,1
