key,count
Klebsiella,1
Vibrio,1
typhimurium,3
pneumoniae,1
anthracis,1
Thiobacillus,18
coli,164
thermophilus,1
Listeria,161
Brevibacillus,1
Shewanella,2
Staphylococcus,169
clausii,1
monocytogenes,132
Clostridium,2
difficile,1
enterica,102
thuringiensis,1
Pseudomonas,9
Salmonella,176
Escherichia,192
lactis,7
subtilis,14
gasseri,1
intermedia,1
jejuni,1
aureus,144
Pediococcus,3
typhi,1
innocua,1
plantarum,55
Streptococcus,1
coagulans,3
Lactobacillus,78
Legionella,3
Lactococcus,8
aeruginosa,6
Bacillus,73
Enterococcus,7
Campylobacter,3
bacterium,2
pneumonia,1
cereus,3
pneumophila,2
putrefaciens,2
