key,count
Shigella,7
typhimurium,13
cholerae,1
mucosa,3
coli,28
Streptomyces,2
Desulfotomaculum,1
pneumoniae,2
delbrueckii,1
Neisseria,3
acidophilus,2
cholera,1
plantarum,1
pyogenes,1
eutropha,3
aeruginosa,18
ruckeri,1
Klebsiella,3
Comamonas,18
parahaemolyticus,24
phage,6
faecalis,2
Staphylococcus,1
Bifidobacterium,6
splendidus,1
Variovorax,6
Porphyromonas,1
Pseudomonas,39
Salmonella,47
Escherichia,38
flexneri,3
perfringens,1
gasseri,2
gonorrhoeae,1
vinelandii,5
damselae,2
oneidensis,1
Sinorhizobium,1
pseudotuberculosis,1
Propionibacterium,1
Agrobacterium,7
marine,21
Helicobacter,1
fluorescens,2
Chlamydia,1
Erwinia,10
Lactococcus,1
testosteroni,17
paradoxus,4
carotovora,7
Vibrio,546
Ralstonia,5
hydrophila,32
meningitidis,2
Chromobacterium,2
Bacillus,25
Bacteroides,2
lactis,2
casei,1
stutzeri,2
Arthrobacter,3
Streptococcus,6
tumefaciens,4
salmonicida,4
breve,1
Yersinia,3
thuringiensis,2
Lactobacillus,12
vulnificus,3
Rhizobium,1
Aeromonas,56
Shewanella,1
harveyi,247
bacterium,20
Clostridium,3
Photobacterium,3
enterica,1
cepacia,2
subtilis,3
fusca,1
alginolyticus,1
mediterranei,1
fischeri,4
vulgaris,1
Azotobacter,8
oral,2
Methylobacterium,2
