key,count
Klebsiella,3
Aeromonas,1
putida,4
indica,1
pneumoniae,9
licheniformis,2
metallidurans,16
Enterococcus,5
coli,10
Geobacter,3
sphaericus,2
Cupriavidus,9
Shewanella,35
Dehalococcoides,1
Bacillus,5
Pyrobaculum,1
Citrobacter,21
Clostridium,24
butyricum,20
Leptothrix,2
Enterobacteria,1
Pseudomonas,8
ferrireducens,1
subtilis,1
Escherichia,7
minor,4
sphaeroides,2
stutzeri,1
desulfuricans,15
oneidensis,41
Thermotoga,1
delta,1
marine,1
Bacteroides,3
faecium,10
Lactobacillus,3
vulgatus,6
mobile,2
aeruginosa,2
bacterium,17
Desulfovibrio,29
Anabaena,2
vulgaris,7
oryzae,1
Rhodobacter,3
