key,count
Aeromonas,2
putida,1
Nitrobacter,2
Thauera,1
avium,1
Comamonas,1
Paracoccus,2
Methylosinus,2
Shigella,1
phage,24
coli,8
hydrophila,1
Shewanella,16
Staphylococcus,3
bacterium,5
marine,1
Variovorax,1
Leptothrix,1
parvum,3
acidovorans,1
Pseudomonas,26
Bacteroides,2
Escherichia,11
minor,8
europaea,4
subtilis,1
stutzeri,2
desulfuricans,4
uncultured,1
cholera,1
Enterobacter,7
aureus,1
Dehalococcoides,1
beta,2
oneidensis,9
Nitrosomonas,9
salmonicida,1
fragilis,2
Delftia,21
Campylobacter,1
Lactobacillus,24
Mycobacterium,3
mobile,3
testosteroni,1
aeruginosa,23
Bacillus,1
Desulfovibrio,4
trichosporium,2
pneumonia,1
winogradskyi,1
oral,1
