key,count
Acinetobacter,1
Ralstonia,1
pseudotuberculosis,1
typhimurium,2
xylosoxidans,1
metallidurans,2
leguminosarum,3
rubrum,201
putida,1
phage,7
meliloti,1
coli,24
violaceum,1
enterica,8
Cupriavidus,1
capsulatus,3
sphaeroides,5
gracilis,1
Staphylococcus,8
Chromobacterium,1
Sphingobacterium,1
bacterium,19
Rhodobacter,14
Rhodopseudomonas,3
palustris,1
Rhodospirillum,43
Pseudomonas,27
Salmonella,11
denitrificans,1
bovis,2
Escherichia,18
minor,4
europaea,76
Rhodococcus,2
Enterobacter,1
aureus,5
Flavobacterium,2
smegmatis,2
beta,3
Nitrosomonas,51
tuberculosis,4
delta,1
Yersinia,1
alpha,4
Fibrobacter,1
marine,2
fluorescens,2
equi,1
unidentified,3
Mycobacterium,11
eutropha,1
winogradskyi,53
aeruginosa,18
Bacillus,2
Nitrobacter,41
mobilis,1
Rhizobium,5
Nitrosospira,1
oral,5
comes,1
