key,count
capitis,2
Klebsiella,2
Acinetobacter,12
Ralstonia,1
Rhodococcus,1
Marinomonas,1
licheniformis,1
saprophyticus,1
hominis,7
Yersinia,1
putida,1
baumannii,1
coli,17
tumefaciens,1
kristensenii,1
haemolyticus,1
Staphylococcus,40
maltophilia,1
rhizophila,1
Kocuria,1
Bacillus,24
Roseomonas,1
Brachybacterium,1
pneumoniae,1
lwoffii,1
Pseudomonas,8
luteus,13
acnes,8
Escherichia,2
epidermidis,14
cereus,1
subtilis,10
Pantoea,3
Exiguobacterium,1
Moraxella,1
cloacae,1
calcoaceticus,1
Enterobacter,1
aureus,13
Streptomyces,1
Corynebacterium,20
Streptococcus,1
radioresistens,1
mucosa,1
Propionibacterium,14
Agrobacterium,1
Stenotrophomonas,1
Delftia,1
Geobacillus,1
aerosaccus,6
Enterobacteriaceae,1
aeruginosa,3
Enhydrobacter,12
amyloliquefaciens,1
vortex,1
jeikeium,7
Psychrobacter,1
Paenibacillus,1
Micrococcus,28
gamma,2
