key,count
rectale,2
bryantii,1
Shigella,1
hallii,4
longum,10
hominis,6
Ruminococcus,2
coli,1
faecium,1
intestinalis,6
gnavus,3
Eubacterium,4
Bifidobacterium,7
prausnitzii,5
reuteri,1
Clostridium,10
Helicobacter,1
Anaerostipes,9
ruminicola,1
Bacteroides,3
Escherichia,1
minor,2
Fusobacterium,1
acidophilus,2
inulinivorans,1
mucosa,3
acetobutylicum,1
Salmonella,1
Roseburia,8
Faecalibacterium,4
Prevotella,1
Lactobacillus,5
caccae,26
torques,2
Bacteroidetes,4
thetaiotaomicron,1
bacterium,2
adolescentis,1
