key,count
Klebsiella,1
Vibrio,322
Aeromonas,6
pneumoniae,2
anthracis,5
licheniformis,1
hydrophila,5
coli,5
Paracoccus,1
intestinalis,1
meningitidis,2
aureus,1
Achromobacter,1
sphaeroides,5
Staphylococcus,3
harveyi,97
Bacillus,79
marine,1
Rhodobacter,5
cholerae,2
faecalis,1
Neisseria,3
Pseudomonas,8
Francisella,1
Salmonella,3
Escherichia,6
denitrificans,2
casei,2
subtilis,63
parahaemolyticus,1
pylori,1
Streptococcus,1
tumefaciens,2
Agrobacterium,2
tularensis,1
Helicobacter,1
Erwinia,3
Lactobacillus,5
fischeri,26
aeruginosa,3
Enterococcus,1
vulgaris,1
epidermidis,1
Photobacterium,1
Myxococcus,1
Burkholderia,1
carotovora,3
