key,count
typhimurium,19
avium,1
mucosa,9
Comamonas,1
coli,11
faecium,34
Eubacterium,8
faecalis,4
scindens,1
Bifidobacterium,5
Bacillus,3
reuteri,25
Clostridium,11
Methanobrevibacter,1
Anaerostipes,1
Leuconostoc,3
difficile,1
Pseudomonas,1
Salmonella,29
Escherichia,4
minor,2
casei,1
perfringens,2
gasseri,1
Enterobacter,1
Pediococcus,1
thetaiotaomicron,2
mycoides,1
Bacteroides,4
Roseburia,1
unidentified,1
Lactobacillus,37
caccae,1
mobile,3
testosteroni,1
Bacteroidetes,1
Enterococcus,74
brevis,1
Lactococcus,1
bacterium,3
Citrobacter,1
adolescentis,2
oral,8
comes,1
