key,count
Klebsiella,1
rectale,12
mutans,1
siraeum,1
pneumoniae,1
hallii,10
longum,4
bolteae,3
nexile,1
avium,1
mucosa,8
distasonis,1
Bilophila,1
Ruminococcus,9
coli,5
intestinalis,9
lactaris,1
Fusobacterium,1
Pseudomonas,1
Eubacterium,34
Bifidobacterium,7
prausnitzii,12
saccharolyticum,1
plebeius,1
Clostridium,134
formatexigens,1
Clostridiales,3
Anaerostipes,10
difficile,1
Subdoligranulum,3
stercoris,1
eutactus,3
uniformis,1
ruminicola,1
Bacteroides,18
catenulatum,1
Escherichia,3
gnavus,1
tannerae,1
gasseri,1
oralis,1
Oxalobacter,1
Bryantella,1
Enterobacter,1
faecalis,1
Coprococcus,8
obeum,4
Streptococcus,2
thetaiotaomicron,1
bovis,1
Propionibacterium,1
Yersinia,1
Helicobacter,1
ovatus,1
Roseburia,18
Faecalibacterium,11
Prevotella,4
Parabacteroides,1
Lactobacillus,3
caccae,8
Mycobacterium,1
bifidum,1
Burkholderia,1
Bacteroidetes,20
Serratia,1
melaninogenica,1
formigenes,1
variabile,1
ventriosum,3
bacterium,1
Vibrio,1
vulgatus,2
adolescentis,2
Haemophilus,1
comes,1
