key,count
putida,40
Ralstonia,19
Rhodococcus,5
xylosoxidans,1
Methylobacter,1
Brevundimonas,5
Methanosarcina,1
Comamonas,53
limicola,1
Methylosinus,1
Acinetobacter,10
phage,1
coli,19
Paracoccus,4
Eubacterium,1
multivorans,2
Dehalococcoides,1
mazei,1
bacterium,13
marine,2
Clostridium,1
acidovorans,71
Pseudomonas,92
Bacteroides,1
Achromobacter,4
Escherichia,6
denitrificans,4
Cytophaga,1
uncultured,7
Moraxella,8
polymyxa,1
cholera,1
Xanthobacter,1
mobilis,1
Nitrosomonas,7
Acidobacterium,26
Fibrobacter,1
Delftia,31
fluorescens,2
Psychrobacter,1
Acidovorax,1
mobile,20
testosteroni,107
aeruginosa,3
Bacillus,2
beta,1
paradoxus,1
trichosporium,1
eutropha,35
Proteus,2
minor,8
Paenibacillus,2
Nitrosospira,3
Burkholderia,1
Flavobacterium,2
