key,count
putida,3
Vibrio,11
sanguinis,1
nucleatum,6
mutans,1
cholerae,14
licheniformis,3
mucosa,1
Actinobacillus,1
Shigella,1
phage,10
coli,37
Caulobacter,1
Myxococcus,1
xanthus,1
Fusobacterium,4
Staphylococcus,8
lavamentivorans,1
Bacillus,6
Clostridium,2
enterica,4
Xanthomonas,1
Pseudomonas,94
marcescens,20
Nocardia,2
Salmonella,4
Escherichia,22
epidermidis,6
tunicata,5
subtilis,5
uncultured,1
jejuni,2
aureus,2
Pseudoalteromonas,2
Streptomyces,2
Streptococcus,2
beta,4
oneidensis,5
alpha,5
marine,11
vulnificus,1
fluorescens,2
crescentus,1
Gluconacetobacter,1
Shewanella,4
mobilis,1
radiodurans,1
Legionella,1
sphaeroides,2
mobile,3
aeruginosa,223
bacterium,15
Serratia,12
Campylobacter,3
Deinococcus,2
campestris,1
cenocepacia,1
Actinomyces,1
pneumophila,1
oral,8
Rhodobacter,2
gamma,2
