key,count
Bacillus,3
Shigella,4
siraeum,1
typhimurium,5
rectale,5
licheniformis,1
anginosus,1
Ruminococcus,15
coli,29
Geobacter,1
Eubacterium,37
leptum,6
gnavus,2
cloacae,1
plebeius,1
reuteri,35
Haemophilus,1
formatexigens,1
Clostridiales,5
difficile,3
acidophilus,16
biforme,1
mucosa,11
plantarum,3
acidilactici,37
Veillonella,1
caccae,4
adolescentis,14
Klebsiella,3
uniformis,2
perfringens,1
sporogenes,1
smithii,1
intestinalis,7
Enterobacteria,2
faecalis,11
Staphylococcus,1
Peptostreptococcus,1
Bifidobacterium,78
Mitsuokella,3
typhi,1
stercoris,1
oralis,1
Pseudomonas,1
Atopobium,3
Salmonella,13
bovis,1
Escherichia,31
albus,1
atypica,1
aureus,1
enterocolitica,1
angulatum,4
Bryantella,1
Coprococcus,1
Propionibacterium,2
salivarius,1
Helicobacter,7
Parabacteroides,1
Legionella,1
Enterobacteriaceae,4
bifidum,5
ruminicola,1
Enterococcus,17
melaninogenica,1
formigenes,1
Megasphaera,1
Lactococcus,1
gamma,1
Vibrio,9
butyricum,1
nexile,1
longum,12
Methanobrevibacter,2
Bilophila,1
Carnobacterium,1
Listeria,2
Pediococcus,41
prausnitzii,13
monocytogenes,1
sakei,1
Anaerostipes,9
eutactus,1
Bacteroides,42
catenulatum,2
lactis,2
tannerae,1
uncultured,1
Faecalibacterium,19
bivia,1
Streptococcus,3
thetaiotaomicron,5
breve,1
Yersinia,2
Aerococcus,1
fragilis,7
sulfurreducens,1
Roseburia,11
Prevotella,7
Lactobacillus,216
distasonis,1
Burkholderia,2
fischeri,8
pneumonia,1
Proteus,2
rhamnosus,41
pneumophila,1
johnsonii,5
mirabilis,1
hallii,1
Mollicutes,3
Serratia,3
pneumoniae,1
faecium,1
wadsworthia,1
bacterium,14
Citrobacter,1
Clostridium,103
enterica,1
Subdoligranulum,3
subtilis,1
botulinum,1
Enterobacter,3
pylori,7
dentium,2
obeum,2
ovatus,2
Oxalobacter,3
vulgatus,2
Bacteroidetes,30
Desulfovibrio,1
ventriosum,1
limosum,2
Fusobacterium,2
oral,7
