key,count
rectale,14
putida,2
mutans,2
aggregans,2
Thauera,1
hafniense,2
coli,5
Eubacterium,70
Sphingomonas,2
faecalis,4
Peptostreptococcus,3
Bifidobacterium,3
Bacillus,1
Clostridium,22
butyricum,3
Methanobrevibacter,1
difficile,1
Pelobacter,1
Pseudomonas,2
Atopobium,2
Bacteroides,1
Escherichia,1
minor,9
limosum,130
casei,1
subtilis,1
Enterobacter,4
aureus,1
Streptococcus,2
beta,12
alpha,13
Thermoanaerobacter,1
unidentified,2
Lactobacillus,3
sphaeroides,1
mobile,1
Bacteroidetes,1
Enterococcus,6
bacterium,34
Desulfitobacterium,3
oral,23
dehalogenans,3
Rhizobium,1
