key,count
Vibrio,5
Aeromonas,1
Shigella,1
mutans,1
Rhodococcus,6
typhimurium,2
cholerae,5
vulnificus,1
mucosa,1
Comamonas,1
Acinetobacter,1
phage,4
baumannii,1
coli,457
faecium,1
Listeria,3
faecalis,1
Staphylococcus,1
Bifidobacterium,5
bacterium,5
monocytogenes,2
Clostridium,2
Helicobacter,2
enterica,2
parvum,2
cholera,2
Pseudomonas,4
Bacteroides,237
coprophilus,10
bovis,1
Campylobacter,3
minor,1
Xanthomonas,2
perfringens,3
jejuni,1
pylori,1
dentium,1
Streptococcus,5
marina,1
fragilis,16
marine,11
Salmonella,8
Leptospira,1
Prevotella,1
Legionella,1
vulgatus,12
mobile,2
distasonis,1
aeruginosa,1
Desulfovibrio,2
Enterococcus,1
Escherichia,124
testosteroni,1
adolescentis,2
oryzae,2
