code_name,full_name
282458.4,Staphylococcus aureus subsp. aureus MRSA252
370551.4,Streptococcus pyogenes MGAS9429
282458.1,Staphylococcus aureus subsp. aureus MRSA252
382638.14,Helicobacter acinonychis str. Sheeba
243277.26,Vibrio cholerae O1 biovar El Tor str. N16961
675518.3,Mycobacterium tuberculosis SUMu007
313589.3,Janibacter sp. HTCC2649
313589.5,Janibacter sp. HTCC2649
596153.4,Alicycliphilus denitrificans BC
431946.3,Escherichia coli SE15
453362.3,Streptococcus pneumoniae CDC1873-00
453362.4,Streptococcus pneumoniae CDC1873-00
246196.1,Mycobacterium smegmatis str. MC2 155
469590.5,Bacteroides sp. 2_2_4
526997.3,Bacillus mycoides DSM 2048
246197.24,Myxococcus xanthus DK 1622
536231.5,Roseburia intestinalis L1-82
469598.5,Escherichia sp. 3_2_53FAA
488223.4,Streptococcus pneumoniae P1031
123214.3,Persephonella marina EX-H1
526987.3,Bacillus cereus Rock4-2
85963.7,Helicobacter pylori J99
351016.3,Roseobacter sp. AzwK-3b
85963.1,Helicobacter pylori J99
411471.5,Subdoligranulum variabile DSM 15176
565636.4,Enterococcus faecalis T1
314723.3,Borrelia hermsii DAH
314723.4,Borrelia hermsii DAH
314266.4,Sphingomonas sp. SKA58
74546.3,Prochlorococcus marinus str. MIT 9312
74546.5,Prochlorococcus marinus str. MIT 9312
400667.4,Acinetobacter baumannii ATCC 17978
400667.7,Acinetobacter baumannii ATCC 17978
399795.3,Comamonas testosteroni KF-1
106370.11,Frankia sp. Ccl3
75379.3,Thiomonas intermedia K12
75379.4,Thiomonas intermedia K12
535206.4,Enterococcus faecium E1162
391619.3,Phaeobacter gallaeciensis BS107
537973.8,Lactobacillus paracasei subsp. paracasei 8700:2
561276.4,Streptococcus pneumoniae ATCC 700669
451755.5,Clostridium perfringens E str. JGS1987
523791.5,Kangiella koreensis DSM 16069
311403.8,Agrobacterium radiobacter K84
83334.1,Escherichia coli O157:H7
375286.7,Janthinobacterium sp. Marseille
375286.6,Janthinobacterium sp. Marseille
177416.18,Francisella tularensis subsp. tularensis SCHU S4
526989.3,Bacillus cereus F65185
398767.5,Geobacter lovleyi SZ
216600.3,Streptococcus pneumoniae 23F
520999.6,Providencia alcalifaciens DSM 30120
596322.3,Streptococcus salivarius SK126
864570.3,Streptococcus sp. oral taxon 071 str. 73H25AP
525243.3,Acinetobacter sp. 6013150
596153.3,Alicycliphilus denitrificans BC
262698.4,Brucella abortus bv. 1 str. 9-941
262698.3,Brucella abortus biovar 1 str. 9-941
216592.3,Escherichia coli 042
216592.1,Escherichia coli 042
517418.3,Chloroherpeton thalassium ATCC 35110
517418.5,Chloroherpeton thalassium ATCC 35110
596317.3,Staphylococcus epidermidis SK135
255470.8,Dehalococcoides sp. CBDB1
476211.11,Borrelia burgdorferi 72a
99287.1,Salmonella typhimurium LT2
553175.3,Porphyromonas endodontalis ATCC 35406
71421.8,Haemophilus influenzae Rd KW20
71421.1,Haemophilus influenzae Rd KW20
575606.3,Lactobacillus jensenii 27-2-CHN
749525.3,Enterococcus faecium TX0133C
216389.5,Dehalococcoides sp. BAV1
317655.17,Sphingopyxis alaskensis RB2256
596309.3,Rhodococcus erythropolis SK121
89187.6,Roseovarius nubinhibens ISM
504728.4,Meiothermus ruber DSM 1279
504728.5,Meiothermus ruber DSM 1279
504728.6,Meiothermus ruber DSM 1279
89187.3,Roseovarius nubinhibens ISM
525366.3,Lactobacillus vaginalis ATCC 49540
485914.4,Halomicrobium mukohataei DSM 12286
331978.4,Burkholderia pseudomallei Pasteur 52237
331978.3,Burkholderia pseudomallei Pasteur
515621.3,Clostridium botulinum Ba4 str. 657
387344.13,Lactobacillus brevis ATCC 367
387344.15,Lactobacillus brevis ATCC 367
546262.4,Neisseria cinerea ATCC 14685
331109.3,Burkholderia pseudomallei 1655
344601.5,Escherichia coli B171
344601.3,Escherichia coli B171
469593.3,Bacteroides sp. 3_1_40A
265311.5,Mesoplasma florum L1
265311.3,Mesoplasma florum L1
888801.3,Lactobacillus iners ATCC 55195
665571.4,Spirochaeta thermophila DSM 6192
498848.5,Thermus aquaticus Y51MC23
272564.6,Desulfitobacterium hafniense DCB-2
754093.3,Shigella dysenteriae 1617
272564.4,Desulfitobacterium hafniense DCB-2
684738.3,Lactococcus lactis subsp. lactis KF147
331111.12,Escherichia coli E24377A
374927.4,Haemophilus influenzae 22.1-21
205922.5,Pseudomonas fluorescens Pf0-1
198466.1,Streptococcus pyogenes MGAS315
198466.3,Streptococcus pyogenes MGAS315
748671.3,Lactobacillus crispatus ST1
223926.6,Vibrio parahaemolyticus RIMD 2210633
223926.1,Vibrio parahaemolyticus RIMD 2210633
520454.3,Brucella abortus bv. 6 str. 870
862964.3,Haemophilus influenzae 10810
50743.3,unidentified eubacterium SCB49
495036.3,Geobacillus sp. G11MC16
423368.6,Salmonella enterica subsp. enterica serovar Newport str. SL254
423368.8,Salmonella enterica subsp. enterica serovar Newport str. SL254
471821.5,uncultured Termite group 1 bacterium phylotype Rs-D17
160490.1,Streptococcus pyogenes M1 GAS
290402.34,Clostridium beijerincki beijerinckii NCIMB 8052
269798.12,Cytophaga hutchinsonii ATCC 33406
269798.16,Cytophaga hutchinsonii ATCC 33406
656379.3,Escherichia coli FVEC1302
373153.27,Streptococcus pneumoniae D39
520460.3,Brucella ceti M13/05/1
243261.3,Burkholderia sp. Ch1-1
373153.25,Streptococcus pneumonia pneumoniae D39
374931.9,Haemophilus influenzae PittGG
525283.3,Fusobacterium nucleatum subsp. nucleatum ATCC 23726
626095.3,Ureaplasma urealyticum serovar 8 str. ATCC 27618
626095.4,Ureaplasma urealyticum serovar 8 str. ATCC 27618
360094.3,Xanthomonas oryzae pv. oryzae PXO99A
443143.3,Geobacter sp. M18
360094.4,Xanthomonas oryzae pv. oryzae PXO99A
411486.3,Clostridium sp. M62/1
528353.5,Neisseria gonorrhoeae FA6140
527031.3,Bacillus thuringiensis serovar berliner ATCC 10792
243275.1,Treponema denticola ATCC 35405
243275.7,Treponema denticola ATCC 35405
390874.12,Thermotoga petrophila RKU-1
166314.3,Synechococcus sp. WH 8109
390874.10,Thermotoga petrophila RKU-1
217.1,Helicobacter mustelae 43772
498217.4,Edwardsiella tarda EIB202
553481.3,Mycobacterium avium subsp. avium ATCC 25291
247639.3,marine gamma proteobacterium HTCC2080
367737.4,Arcobacter butzleri RM4018
367737.6,Arcobacter butzleri RM4018
762051.3,Leuconostoc kimchii IMSNU11154
520448.3,Brucella sp. NVSL 07-0026
457429.3,Streptomyces pristinaespiralis ATCC 25486
